Datetime,Date,Time,open,high,low,close,BuyPrice,SellPrice,Strike,EMA5
2022-10-20 09:15:00,2022-10-20,09:15:00,62.65,62.65,42.45,50.55,53.3,53.65,17600,50.55
2022-10-20 09:20:00,2022-10-20,09:20:00,49.9,53.3,47.2,52.6,49.9,49.95,17600,51.78
2022-10-20 09:25:00,2022-10-20,09:25:00,52.25,52.25,47.4,50.5,52.2,52.3,17600,51.17368421052631
2022-10-20 09:30:00,2022-10-20,09:30:00,50.65,52.95,49.2,49.45,50.55,50.6,17600,50.457692307692305
2022-10-20 09:35:00,2022-10-20,09:35:00,49.55,51.7,46.55,50.05,49.5,49.55,17600,50.30118483412321
2022-10-20 09:40:00,2022-10-20,09:40:00,50.1,54.9,48.8,52.9,50.1,50.25,17600,51.25082706766917
2022-10-20 09:45:00,2022-10-20,09:45:00,53.5,57.7,51.25,55.5,53.3,53.35,17600,52.75526954832443
2022-10-20 09:50:00,2022-10-20,09:50:00,55.7,56.65,52.55,54.2,55.7,55.8,17600,53.25639968279144
2022-10-20 09:55:00,2022-10-20,09:55:00,54.45,54.85,51.05,52.7,54.45,54.5,17600,53.06597986542174
2022-10-20 10:00:00,2022-10-20,10:00:00,52.85,56.9,51.9,56.8,52.75,52.85,17600,54.33261869883672
2022-10-20 10:05:00,2022-10-20,10:05:00,56.6,59.05,53.45,53.45,56.6,56.75,17600,54.034971359059746
2022-10-20 10:10:00,2022-10-20,10:10:00,53.6,56.15,52.0,53.2,53.5,53.6,17600,53.75448577307077
2022-10-20 10:15:00,2022-10-20,10:15:00,53.5,60.0,52.35,60.0,53.35,53.5,17600,55.84707606118285
2022-10-20 10:20:00,2022-10-20,10:20:00,59.65,64.8,58.0,58.0,59.55,59.65,17600,56.567184095112125
2022-10-20 10:25:00,2022-10-20,10:25:00,58.45,64.0,56.4,63.6,58.45,58.5,17600,58.91682183303753
2022-10-20 10:30:00,2022-10-20,10:30:00,63.5,67.65,62.25,65.35,63.45,63.5,17600,61.06448424002271
2022-10-20 10:35:00,2022-10-20,10:35:00,65.5,66.0,60.55,65.85,65.45,65.6,17600,62.66127683939731
2022-10-20 10:40:00,2022-10-20,10:40:00,65.95,69.15,63.45,66.0,65.85,65.95,17600,63.774938106784184
2022-10-20 10:45:00,2022-10-20,10:45:00,65.9,66.1,62.75,63.05,65.9,66.0,17600,63.533183017163296
2022-10-20 10:50:00,2022-10-20,10:50:00,63.0,64.9,60.4,60.8,63.0,63.15,17600,62.62184794686786
2022-10-20 10:55:00,2022-10-20,10:55:00,60.7,61.95,58.4,58.9,60.65,60.8,17600,61.38098318884811
2022-10-20 11:00:00,2022-10-20,11:00:00,58.3,58.3,53.3,53.3,58.35,58.45,17600,58.68696205062478
2022-10-20 11:05:00,2022-10-20,11:05:00,53.25,54.7,50.05,51.1,53.2,53.3,17600,56.157749335453495
2022-10-20 11:10:00,2022-10-20,11:10:00,51.05,55.05,50.0,54.7,51.05,51.1,17600,55.671804023599634
2022-10-20 11:15:00,2022-10-20,11:15:00,54.5,58.15,54.5,57.75,54.5,54.65,17600,56.36456345048062
