Datetime,Date,Time,open,high,low,close,BuyPrice,SellPrice,Strike,EMA5
2022-10-27 09:15:00,2022-10-27,09:15:00,84.05,88.7,67.7,74.9,84.05,88.7,17600,74.9
2022-10-27 09:20:00,2022-10-27,09:20:00,74.75,76.5,73.45,74.85,74.55,74.8,17600,74.86999999999999
2022-10-27 09:25:00,2022-10-27,09:25:00,74.45,78.7,70.1,70.4,74.4,74.5,17600,72.75263157894736
2022-10-27 09:30:00,2022-10-27,09:30:00,69.95,73.0,65.4,66.2,69.9,70.05,17600,70.03076923076922
2022-10-27 09:35:00,2022-10-27,09:35:00,66.0,69.75,65.45,68.5,65.85,66.05,17600,69.44312796208531
2022-10-27 09:40:00,2022-10-27,09:40:00,68.05,69.5,64.0,66.05,68.15,68.35,17600,68.20323308270677
2022-10-27 09:45:00,2022-10-27,09:45:00,65.6,70.95,62.15,69.6,65.65,65.9,17600,68.69776590577952
2022-10-27 09:50:00,2022-10-27,09:50:00,70.1,79.6,68.1,79.3,69.95,70.1,17600,72.37533703409993
2022-10-27 09:55:00,2022-10-27,09:55:00,80.0,82.0,76.25,78.75,80.1,80.2,17600,74.55697407542644
2022-10-27 10:00:00,2022-10-27,10:00:00,78.65,80.8,74.5,78.85,78.85,79.0,17600,76.01323653597588
2022-10-27 10:05:00,2022-10-27,10:05:00,78.85,79.95,76.15,77.1,78.95,79.15,17600,76.37972803956619
2022-10-27 10:10:00,2022-10-27,10:10:00,77.1,77.75,72.6,77.5,77.3,77.45,17600,76.75605248935706
2022-10-27 10:15:00,2022-10-27,10:15:00,77.4,83.2,77.4,82.7,77.5,77.7,17600,78.74760136457833
2022-10-27 10:20:00,2022-10-27,10:20:00,82.95,84.5,80.65,82.1,83.05,83.3,17600,79.86890860018231
2022-10-27 10:25:00,2022-10-27,10:25:00,81.25,82.9,78.0,82.45,81.2,81.4,17600,80.73124167416928
2022-10-27 10:30:00,2022-10-27,10:30:00,82.1,83.7,76.7,78.0,82.0,82.3,17600,79.81943961991743
2022-10-27 10:35:00,2022-10-27,10:35:00,77.8,82.55,77.05,81.4,77.7,77.9,17600,80.34682835801085
