Datetime,Date,Time,open,high,low,close,BuyPrice,SellPrice,Strike,EMA5
2022-10-27 09:15:00,2022-10-27,09:15:00,269.7,280.0,220.1,251.5,220.25,279.95,17600,251.5
2022-10-27 09:20:00,2022-10-27,09:20:00,252.65,257.8,249.5,252.4,251.65,252.2,17600,252.04000000000002
2022-10-27 09:25:00,2022-10-27,09:25:00,251.6,258.5,243.0,258.5,253.05,253.85,17600,255.09999999999997
2022-10-27 09:30:00,2022-10-27,09:30:00,258.15,266.2,254.0,264.6,257.3,258.0,17600,259.04615384615386
2022-10-27 09:35:00,2022-10-27,09:35:00,264.4,265.5,255.9,260.35,264.6,265.0,17600,259.546682464455
2022-10-27 09:40:00,2022-10-27,09:40:00,261.05,269.65,256.6,263.95,260.5,261.0,17600,261.1557142857143
2022-10-27 09:45:00,2022-10-27,09:45:00,264.7,275.35,249.6,255.3,264.3,264.8,17600,259.0824672170957
2022-10-27 09:50:00,2022-10-27,09:50:00,253.75,258.05,240.05,241.15,253.0,253.7,17600,252.86227597145125
2022-10-27 09:55:00,2022-10-27,09:55:00,238.7,247.3,235.45,242.5,238.5,239.2,17600,249.31593552761987
2022-10-27 10:00:00,2022-10-27,10:00:00,242.55,248.45,237.6,242.1,241.95,242.6,17600,246.86817578629902
2022-10-27 10:05:00,2022-10-27,10:05:00,242.1,245.0,238.15,242.15,241.55,242.4,17600,245.27705555143092
2022-10-27 10:10:00,2022-10-27,10:10:00,242.15,248.85,239.7,239.7,241.9,242.4,17600,243.40359764480561
2022-10-27 10:15:00,2022-10-27,10:15:00,239.7,239.7,230.1,230.5,238.95,239.75,17600,239.08018373009546
2022-10-27 10:20:00,2022-10-27,10:20:00,230.05,234.65,226.0,234.65,230.0,230.5,17600,237.5983799197959
2022-10-27 10:25:00,2022-10-27,10:25:00,234.35,238.8,230.2,230.2,234.55,234.95,17600,235.12660859886878
2022-10-27 10:30:00,2022-10-27,10:30:00,230.75,240.25,227.0,238.25,230.1,230.7,17600,236.16932654020596
2022-10-27 10:35:00,2022-10-27,10:35:00,238.25,240.3,229.3,231.1,238.1,238.75,17600,234.47783423107757
2022-10-27 10:40:00,2022-10-27,10:40:00,232.0,232.35,206.65,211.75,232.2,233.0,17600,226.8967598331117
2022-10-27 10:45:00,2022-10-27,10:45:00,210.25,216.3,200.55,207.35,210.2,210.8,17600,220.3782327602085
2022-10-27 10:50:00,2022-10-27,10:50:00,207.0,215.0,200.05,214.2,206.55,207.2,17600,218.31820232994852
2022-10-27 10:55:00,2022-10-27,10:55:00,214.2,217.8,211.45,215.6,213.15,213.7,17600,217.41195319657413
2022-10-27 11:00:00,2022-10-27,11:00:00,215.6,218.95,211.2,218.2,215.35,216.0,17600,217.6746705784477
2022-10-27 11:05:00,2022-10-27,11:05:00,218.2,220.0,212.0,219.5,218.4,218.95,17600,218.2831679389935
2022-10-27 11:10:00,2022-10-27,11:10:00,219.5,225.9,213.75,222.2,218.3,218.85,17600,219.58885618804553
2022-10-27 11:15:00,2022-10-27,11:15:00,222.2,226.0,219.2,223.2,222.0,222.5,17600,220.7926184635781
2022-10-27 11:20:00,2022-10-27,11:20:00,223.2,228.65,215.1,216.65,223.45,224.0,17600,219.41170918442137
2022-10-27 11:25:00,2022-10-27,11:25:00,216.8,227.55,215.4,220.0,216.15,216.75,17600,219.60780957449992
2022-10-27 11:30:00,2022-10-27,11:30:00,218.65,227.3,218.25,222.65,218.05,218.8,17600,220.6218849487904
2022-10-27 11:35:00,2022-10-27,11:35:00,222.9,224.35,218.0,221.4,222.55,223.25,17600,220.88125866151478
2022-10-27 11:40:00,2022-10-27,11:40:00,221.4,226.0,212.4,215.15,220.8,221.45,17600,218.970829144605
2022-10-27 11:45:00,2022-10-27,11:45:00,214.0,223.65,214.0,221.8,214.0,214.3,17600,219.91388937516916
2022-10-27 11:50:00,2022-10-27,11:50:00,221.8,224.9,219.0,221.65,222.35,223.2,17600,220.49259425811323
2022-10-27 11:55:00,2022-10-27,11:55:00,221.2,224.0,216.0,218.7,221.8,222.35,17600,219.8950619154272
2022-10-27 12:00:00,2022-10-27,12:00:00,218.7,232.7,218.7,229.35,218.7,219.45,17600,223.04671119026514
2022-10-27 12:05:00,2022-10-27,12:05:00,229.35,235.8,228.8,232.9,229.05,229.8,17600,226.3311430491314
2022-10-27 12:10:00,2022-10-27,12:10:00,232.9,233.0,226.1,228.55,232.3,232.9,17600,227.0707623713823
2022-10-27 12:15:00,2022-10-27,12:15:00,228.45,230.25,218.6,221.55,227.55,227.85,17600,225.23050768589218
2022-10-27 12:20:00,2022-10-27,12:20:00,221.55,221.55,209.5,212.0,220.8,221.25,17600,220.82033755985853
2022-10-27 12:25:00,2022-10-27,12:25:00,212.15,213.0,206.1,210.65,210.8,211.55,17600,217.43022458001454
2022-10-27 12:30:00,2022-10-27,12:30:00,209.4,216.65,207.3,216.3,209.45,210.15,17600,217.05348301927137
2022-10-27 12:35:00,2022-10-27,12:35:00,216.3,219.8,209.8,216.9,215.45,216.15,17600,217.00232200976302
2022-10-27 12:40:00,2022-10-27,12:40:00,217.65,218.8,210.45,212.55,217.4,218.0,17600,215.51821461352233
2022-10-27 12:45:00,2022-10-27,12:45:00,213.9,214.1,206.7,207.0,213.75,214.6,17600,212.6788096662625
2022-10-27 12:50:00,2022-10-27,12:50:00,207.0,212.3,201.7,207.25,206.75,207.3,17600,210.86920641184784
