Date,Time,open,high,low,close,BuyPrice,SellPrice,ema5,Long_Call_Entry,Long Call Entry Point,short_put_entry,Short Put Entry Point,Call Or Put Status,round off values
2022-10-20,09:15:00,17408.0,17542.6,17399.75,17470.45,17403.6,17409.2,17470.45,False,,False,,,17500.0
2022-10-20,09:20:00,17424.85,17522.35,17417.4,17520.0,17423.3,17424.65,17500.18,True,Enter the Long Call trade at - 17520.0,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,09:25:00,17424.4,17531.9,17411.65,17508.35,17423.0,17423.7,17504.05,True,Enter the Long Call trade at - 17508.35,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,09:30:00,17414.15,17514.65,17401.0,17500.85,17414.15,17414.5,17502.720769230767,False,,True,Enter the short put trade at - 17500.85,Buy Put and Sell Call at ,17500.0
2022-10-20,09:35:00,17404.55,17510.0,17403.0,17457.2,17403.0,17404.55,17485.24597156398,False,,True,Enter the short put trade at - 17457.2,Buy Put and Sell Call at ,17500.0
2022-10-20,09:40:00,17410.15,17509.0,17394.0,17500.0,17409.55,17410.2,17490.637293233085,True,Enter the Long Call trade at - 17500.0,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,09:45:00,17402.85,17517.25,17385.3,17517.0,17402.0,17402.85,17499.9711510442,True,Enter the Long Call trade at - 17517.0,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,09:50:00,17416.7,17537.8,17412.4,17535.1,17418.0,17419.0,17512.156209357654,True,Enter the Long Call trade at - 17535.1,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,09:55:00,17441.95,17545.55,17432.05,17539.95,17441.85,17442.8,17521.668235877107,True,Enter the Long Call trade at - 17539.95,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,10:00:00,17439.2,17541.3,17427.1,17536.35,17438.5,17439.6,17526.648523050408,True,Enter the Long Call trade at - 17536.35,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,10:05:00,17440.35,17540.0,17434.3,17536.25,17438.0,17440.5,17529.886449094512,True,Enter the Long Call trade at - 17536.25,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,10:10:00,17436.5,17536.9,17426.0,17536.9,17436.5,17437.75,17532.242457973432,True,Enter the Long Call trade at - 17536.9,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,10:15:00,17441.3,17550.0,17441.3,17548.35,17441.1,17441.75,17537.639369226123,True,Enter the Long Call trade at - 17548.35,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,10:20:00,17548.35,17554.95,17448.0,17546.75,17548.8,17550.1,17540.686684691453,True,Enter the Long Call trade at - 17546.75,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,10:25:00,17450.0,17548.9,17440.0,17548.9,17448.15,17449.95,17543.430722906505,True,Enter the Long Call trade at - 17548.9,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,10:30:00,17452.1,17554.0,17437.0,17539.5,17452.05,17452.6,17542.118484134397,False,,True,Enter the short put trade at - 17539.5,Buy Put and Sell Call at ,17500.0
2022-10-20,10:35:00,17539.5,17549.55,17436.65,17546.4,17535.55,17539.35,17543.547106082628,True,Enter the Long Call trade at - 17546.4,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,10:40:00,17450.15,17582.45,17448.9,17577.6,17448.05,17450.05,17554.90575643307,True,Enter the Long Call trade at - 17577.6,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,10:45:00,17482.3,17595.0,17473.15,17532.7,17480.15,17482.45,17547.500497161505,False,,True,Enter the short put trade at - 17532.7,Buy Put and Sell Call at ,17500.0
2022-10-20,10:50:00,17584.5,17597.5,17475.95,17575.45,17584.05,17587.1,17556.81980068933,True,Enter the Long Call trade at - 17575.45,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,10:55:00,17480.05,17578.95,17472.0,17571.25,17480.0,17480.05,17561.63083166949,True,Enter the Long Call trade at - 17571.25,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,11:00:00,17476.5,17577.05,17468.0,17566.0,17474.75,17476.0,17563.087415795922,True,Enter the Long Call trade at - 17566.0,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,11:05:00,17471.4,17573.4,17467.4,17565.0,17469.95,17472.0,17563.725000675815,True,Enter the Long Call trade at - 17565.0,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,11:10:00,17469.15,17574.25,17457.55,17559.5,17468.9,17469.95,17562.31658345273,False,,True,Enter the short put trade at - 17559.5,Buy Put and Sell Call at ,17600.0
2022-10-20,11:15:00,17462.6,17565.5,17457.1,17557.25,17462.6,17462.85,17560.62765541668,False,,True,Enter the short put trade at - 17557.25,Buy Put and Sell Call at ,17600.0
2022-10-20,11:20:00,17463.95,17568.5,17452.0,17568.5,17461.8,17462.7,17563.251839559973,True,Enter the Long Call trade at - 17568.5,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,11:25:00,17470.4,17570.0,17453.4,17509.0,17470.0,17470.35,17545.16757473982,False,,True,Enter the short put trade at - 17509.0,Buy Put and Sell Call at ,17500.0
2022-10-20,11:30:00,17468.35,17563.7,17456.0,17559.3,17466.15,17468.5,17549.878438436983,True,Enter the Long Call trade at - 17559.3,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,11:35:00,17463.9,17567.65,17460.1,17564.35,17462.8,17464.45,17554.702330026903,True,Enter the Long Call trade at - 17564.35,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,11:40:00,17466.6,17575.5,17460.0,17572.15,17465.6,17467.55,17560.518250348516,True,Enter the Long Call trade at - 17572.15,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,11:45:00,17475.65,17573.9,17460.55,17560.55,17475.95,17477.5,17560.52883360247,True,Enter the Long Call trade at - 17560.55,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,11:50:00,17464.4,17562.45,17458.9,17559.85,17464.4,17465.0,17560.30255521051,False,,True,Enter the short put trade at - 17559.85,Buy Put and Sell Call at ,17600.0
2022-10-20,11:55:00,17465.0,17564.25,17459.05,17507.3,17463.3,17465.1,17542.635009506877,False,,True,Enter the short put trade at - 17507.3,Buy Put and Sell Call at ,17500.0
2022-10-20,12:00:00,17467.55,17560.0,17444.15,17544.95,17466.65,17468.0,17543.40667379951,True,Enter the Long Call trade at - 17544.95,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,12:05:00,17449.8,17546.85,17440.25,17543.7,17449.05,17450.7,17543.504449266824,True,Enter the Long Call trade at - 17543.7,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,12:10:00,17447.6,17549.8,17444.0,17546.9,17447.0,17447.6,17544.636300029426,True,Enter the Long Call trade at - 17546.9,False,,Buy Call and Sell Put at ,17500.0
2022-10-20,12:15:00,17452.05,17560.05,17448.4,17560.0,17452.05,17453.1,17549.75753491609,True,Enter the Long Call trade at - 17560.0,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,12:20:00,17463.6,17575.0,17461.35,17574.0,17462.4,17464.4,17557.838358255052,True,Enter the Long Call trade at - 17574.0,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,12:25:00,17479.0,17583.0,17478.95,17580.0,17478.9,17479.7,17565.22557317216,True,Enter the Long Call trade at - 17580.0,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,12:30:00,17481.95,17580.85,17471.2,17514.05,17480.65,17483.1,17548.167047238705,False,,True,Enter the short put trade at - 17514.05,Buy Put and Sell Call at ,17500.0
2022-10-20,12:35:00,17471.8,17575.0,17465.6,17565.75,17472.0,17472.95,17554.02803184584,True,Enter the Long Call trade at - 17565.75,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,12:40:00,17472.05,17575.0,17466.75,17574.95,17471.3,17472.0,17561.002021510874,True,Enter the Long Call trade at - 17574.95,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,12:45:00,17475.75,17580.75,17475.0,17580.75,17475.0,17475.95,17567.584681183638,True,Enter the Long Call trade at - 17580.75,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,12:50:00,17485.05,17588.7,17476.0,17524.4,17485.05,17487.35,17553.189787198608,False,,True,Enter the short put trade at - 17524.4,Buy Put and Sell Call at ,17500.0
2022-10-20,12:55:00,17484.2,17583.3,17476.4,17524.65,17483.95,17486.0,17543.676524685776,False,,True,Enter the short put trade at - 17524.65,Buy Put and Sell Call at ,17500.0
2022-10-20,13:00:00,17580.6,17588.7,17476.25,17491.9,17578.0,17580.3,17526.417682986823,False,,True,Enter the short put trade at - 17491.9,Buy Put and Sell Call at ,17500.0
2022-10-20,13:05:00,17491.9,17588.7,17467.5,17568.35,17491.6,17491.9,17540.3951220652,True,Enter the Long Call trade at - 17568.35,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,13:10:00,17470.0,17574.0,17462.5,17569.75,17468.5,17470.0,17550.18008141133,True,Enter the Long Call trade at - 17569.75,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,13:15:00,17480.0,17575.0,17469.1,17572.3,17479.6,17480.0,17557.553387624903,True,Enter the Long Call trade at - 17572.3,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,13:20:00,17471.95,17580.0,17466.05,17578.1,17470.55,17471.95,17564.402258427344,True,Enter the Long Call trade at - 17578.1,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,13:25:00,17480.1,17580.0,17475.0,17579.5,17479.35,17480.15,17569.434838956826,True,Enter the Long Call trade at - 17579.5,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,13:30:00,17482.8,17579.5,17474.45,17577.95,17481.8,17482.8,17572.273225973197,True,Enter the Long Call trade at - 17577.95,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,13:35:00,17480.05,17580.0,17460.2,17560.3,17480.4,17480.95,17568.282150646945,False,,True,Enter the short put trade at - 17560.3,Buy Put and Sell Call at ,17600.0
