Datetime,Date,Time,open,high,low,close,BuyPrice,SellPrice,Strike,EMA5
2022-10-13 09:15:00,2022-10-13,09:15:00,218.2,231.0,202.0,202.0,214.0,225.3,17400,202.0
2022-10-13 09:20:00,2022-10-13,09:20:00,203.35,215.0,197.15,209.85,203.05,203.4,17400,206.70999999999998
2022-10-13 09:25:00,2022-10-13,09:25:00,211.0,219.15,199.4,218.4,210.6,211.0,17400,212.24736842105258
2022-10-13 09:30:00,2022-10-13,09:30:00,219.45,234.95,218.65,225.65,219.5,219.55,17400,217.8146153846154
2022-10-13 09:35:00,2022-10-13,09:35:00,224.7,230.55,220.6,224.25,224.7,224.75,17400,220.28507109004738
2022-10-13 09:40:00,2022-10-13,09:40:00,223.9,232.25,221.5,223.4,223.9,224.3,17400,221.4233082706767
2022-10-13 09:45:00,2022-10-13,09:45:00,223.0,224.9,207.65,210.35,222.85,223.25,17400,217.50274405050996
2022-10-13 09:50:00,2022-10-13,09:50:00,210.3,210.3,194.0,196.3,210.25,210.65,17400,210.14819984139572
2022-10-13 09:55:00,2022-10-13,09:55:00,196.05,196.05,180.25,183.4,195.5,195.9,17400,200.99401178863909
2022-10-13 10:00:00,2022-10-13,10:00:00,183.25,191.2,177.65,191.2,183.15,183.35,17400,197.67172770357604
2022-10-13 10:05:00,2022-10-13,10:05:00,191.4,196.85,188.3,190.7,191.3,191.5,17400,195.32063746794668
2022-10-13 10:10:00,2022-10-13,10:10:00,191.5,202.1,189.35,197.75,191.7,191.9,17400,196.13671476926868
2022-10-13 10:15:00,2022-10-13,10:15:00,198.95,208.4,197.25,201.25,199.25,199.35,17400,197.84994615829336
2022-10-13 10:20:00,2022-10-13,10:20:00,201.4,210.7,199.6,207.1,201.35,201.75,17400,200.94389572408758
2022-10-13 10:25:00,2022-10-13,10:25:00,206.4,214.2,205.0,209.0,206.45,206.7,17400,203.6354103155886
2022-10-13 10:30:00,2022-10-13,10:30:00,209.0,217.2,207.4,214.6,209.15,209.55,17400,207.2958463336923
2022-10-13 10:35:00,2022-10-13,10:35:00,215.1,217.75,210.85,215.6,215.15,215.5,17400,210.0667098693068
2022-10-13 10:40:00,2022-10-13,10:40:00,215.55,216.5,203.0,207.95,215.5,215.6,17400,209.36066217312197
