Datetime,Date,Time,open,high,low,close,BuyPrice,SellPrice,Strike,EMA5
2022-10-27 09:15:00,2022-10-27,09:15:00,80.0,80.0,45.4,50.15,61.65,62.25,17800,50.15
2022-10-27 09:20:00,2022-10-27,09:20:00,49.65,50.25,41.65,49.45,49.65,49.7,17800,49.730000000000004
2022-10-27 09:25:00,2022-10-27,09:25:00,49.05,49.85,44.8,46.3,49.1,49.2,17800,48.10526315789473
2022-10-27 09:30:00,2022-10-27,09:30:00,45.6,51.05,43.7,50.95,45.55,45.7,17800,49.286923076923074
2022-10-27 09:35:00,2022-10-27,09:35:00,50.9,53.05,49.05,50.65,50.8,50.9,17800,49.810189573459716
2022-10-27 09:40:00,2022-10-27,09:40:00,50.8,52.3,47.15,49.4,50.7,50.85,17800,49.6603007518797
2022-10-27 09:45:00,2022-10-27,09:45:00,49.1,50.0,46.3,46.85,49.15,49.25,17800,48.66529868868383
2022-10-27 09:50:00,2022-10-27,09:50:00,47.2,48.3,45.05,47.1,47.1,47.2,17800,48.12234734337828
2022-10-27 09:55:00,2022-10-27,09:55:00,47.15,52.45,46.55,51.8,47.1,47.2,17800,49.380971258671956
2022-10-27 10:00:00,2022-10-27,10:00:00,52.3,58.45,51.55,56.7,52.35,52.45,17800,51.863701852649726
2022-10-27 10:05:00,2022-10-27,10:05:00,56.9,57.75,52.2,53.75,56.85,56.9,17800,52.499822100640216
2022-10-27 10:10:00,2022-10-27,10:10:00,53.75,54.5,50.0,50.7,53.75,53.85,17800,51.89522153428971
2022-10-27 10:15:00,2022-10-27,10:15:00,50.95,51.4,35.7,36.25,51.0,51.1,17800,46.653213038519525
2022-10-27 10:20:00,2022-10-27,10:20:00,36.0,38.75,34.6,38.1,35.95,36.0,17800,43.79234214851934
2022-10-27 10:25:00,2022-10-27,10:25:00,38.1,38.9,34.2,36.85,38.0,38.05,17800,41.47293135740021
2022-10-27 10:30:00,2022-10-27,10:30:00,36.8,38.6,35.55,37.2,36.85,36.95,17800,40.046449173050966
2022-10-27 10:35:00,2022-10-27,10:35:00,37.0,38.15,35.35,35.35,36.95,37.0,17800,38.47937559958469
2022-10-27 10:40:00,2022-10-27,10:40:00,35.25,36.7,32.25,34.0,35.2,35.25,17800,36.985239408180654
2022-10-27 10:45:00,2022-10-27,10:45:00,33.95,34.95,32.4,34.85,33.85,33.9,17800,36.273171730049285
2022-10-27 10:50:00,2022-10-27,10:50:00,34.9,35.5,33.25,34.25,34.8,34.9,17800,35.59857828378317
2022-10-27 10:55:00,2022-10-27,10:55:00,34.35,34.9,31.2,31.2,34.35,34.45,17800,34.13209151278792
2022-10-27 11:00:00,2022-10-27,11:00:00,31.65,33.35,30.05,32.1,31.65,31.7,17800,33.45463712854792
2022-10-27 11:05:00,2022-10-27,11:05:00,32.25,32.5,29.7,30.7,32.2,32.3,17800,32.53634292795513
2022-10-27 11:10:00,2022-10-27,11:10:00,30.85,30.85,27.85,28.45,30.8,30.85,17800,31.174147699891993
2022-10-27 11:15:00,2022-10-27,11:15:00,28.4,29.4,27.75,28.5,28.35,28.45,17800,30.282729831216756
2022-10-27 11:20:00,2022-10-27,11:20:00,28.55,29.15,26.55,27.75,28.5,28.6,17800,29.438464264335785
2022-10-27 11:25:00,2022-10-27,11:25:00,27.6,29.1,27.1,28.75,27.55,27.65,17800,29.208972136945363
2022-10-27 11:30:00,2022-10-27,11:30:00,28.65,29.0,27.85,28.5,28.55,28.65,17800,28.972645318246556
2022-10-27 11:35:00,2022-10-27,11:35:00,28.4,29.5,28.05,28.65,28.35,28.4,17800,28.865096037511456
2022-10-27 11:40:00,2022-10-27,11:40:00,28.65,28.65,24.4,25.85,28.55,28.65,17800,27.86005878364283
2022-10-27 11:45:00,2022-10-27,11:45:00,25.75,27.5,25.5,27.0,25.75,25.85,17800,27.573371525694352
2022-10-27 11:50:00,2022-10-27,11:50:00,27.1,28.5,26.9,27.2,27.15,27.2,17800,27.4489140619929
2022-10-27 11:55:00,2022-10-27,11:55:00,27.15,29.7,26.2,29.6,27.1,27.2,17800,28.165943815959213
2022-10-27 12:00:00,2022-10-27,12:00:00,29.5,32.7,29.25,31.4,29.55,29.65,17800,29.243963654486574
2022-10-27 12:05:00,2022-10-27,12:05:00,31.4,31.45,28.75,29.15,31.4,31.45,17800,29.212642414814162
2022-10-27 12:10:00,2022-10-27,12:10:00,29.45,29.5,27.2,29.2,29.35,29.45,17800,29.20842827461337
2022-10-27 12:15:00,2022-10-27,12:15:00,29.15,30.6,28.65,29.45,29.2,29.25,17800,29.288952207653686
2022-10-27 12:20:00,2022-10-27,12:20:00,29.4,29.5,26.3,26.4,29.35,29.4,17800,28.325967942483047
2022-10-27 12:25:00,2022-10-27,12:25:00,26.4,28.05,25.05,27.0,26.45,26.5,17800,27.88397856836326
2022-10-27 12:30:00,2022-10-27,12:30:00,27.0,27.85,24.9,24.95,27.1,27.15,17800,26.905985623794713
2022-10-27 12:35:00,2022-10-27,12:35:00,24.9,26.85,23.85,25.9,24.85,24.9,17800,26.57065706231224
2022-10-27 12:40:00,2022-10-27,12:40:00,25.95,26.45,23.1,24.45,25.85,25.95,17800,25.863771346461878
2022-10-27 12:45:00,2022-10-27,12:45:00,24.45,26.35,23.7,25.15,24.45,24.5,17800,25.625847557932428
2022-10-27 12:50:00,2022-10-27,12:50:00,25.25,25.75,24.15,24.95,25.15,25.2,17800,25.40056503459712
2022-10-27 12:55:00,2022-10-27,12:55:00,24.95,25.15,23.8,24.5,24.9,24.95,17800,25.100376686156324
2022-10-27 13:00:00,2022-10-27,13:00:00,24.5,25.95,24.35,25.05,24.45,24.5,17800,25.083584457304227
2022-10-27 13:05:00,2022-10-27,13:05:00,25.6,25.8,24.8,25.4,25.55,25.6,17800,25.189056305427762
2022-10-27 13:10:00,2022-10-27,13:10:00,25.25,25.4,20.65,22.55,25.25,25.35,17800,24.309370867180995
2022-10-27 13:15:00,2022-10-27,13:15:00,22.6,24.4,22.6,24.2,22.6,22.65,17800,24.272913911368235
2022-10-27 13:20:00,2022-10-27,13:20:00,24.2,27.65,24.2,26.4,24.15,24.2,17800,24.98194260869081
2022-10-27 13:25:00,2022-10-27,13:25:00,26.55,27.0,25.0,26.5,26.55,26.6,17800,25.487961739656274
2022-10-27 13:30:00,2022-10-27,13:30:00,26.65,27.35,24.0,27.05,26.65,26.7,17800,26.008641160133784
2022-10-27 13:35:00,2022-10-27,13:35:00,26.95,27.95,25.9,26.65,26.85,26.9,17800,26.222427440188532
2022-10-27 13:40:00,2022-10-27,13:40:00,26.6,28.15,25.3,27.85,26.65,26.75,17800,26.764951626960425
2022-10-27 13:45:00,2022-10-27,13:45:00,28.0,28.4,26.3,26.8,28.05,28.1,17800,26.77663441797603
2022-10-27 13:50:00,2022-10-27,13:50:00,26.8,27.0,24.2,25.4,26.75,26.8,17800,26.317756278587506
