,Ticker,datetime,FnO,Volume,Open,High,Low,Close,ema5,Long_Call_Entry,Long Call Entry Point,Short_Put_Entry,Short Put Entry Point,Call Or Put Status,Rounded Value
0,NIFTY-I.NFO,2022-01-03 09:15:00,F,481550,17432.2,17509.0,17426.65,17508.35,17508.35,,,,,,17500
1,NIFTY-I.NFO,2022-01-03 09:20:00,F,538550,17512.0,17515.0,17483.6,17483.6,17493.5,,,,,Buy Put,17500
2,NIFTY-I.NFO,2022-01-03 09:25:00,F,177400,17484.95,17506.45,17483.0,17504.95,17498.923684210527,,,,,Buy Call,17500
3,NIFTY-I.NFO,2022-01-03 09:30:00,F,174900,17503.7,17512.0,17483.65,17494.55,17497.106923076924,,,,,Buy Put,17500
4,NIFTY-I.NFO,2022-01-03 09:35:00,F,112750,17495.35,17510.7,17495.35,17509.85,17501.998815165876,,,,,Buy Call,17500
5,NIFTY-I.NFO,2022-01-03 09:40:00,F,90450,17509.85,17510.0,17495.05,17497.35,17500.30007518797,,,,,Buy Put,17500
6,NIFTY-I.NFO,2022-01-03 09:45:00,F,172100,17496.75,17519.3,17494.4,17519.15,17506.97399222924,,,,,Buy Call,17500
7,NIFTY-I.NFO,2022-01-03 09:50:00,F,153150,17516.15,17529.0,17515.0,17525.95,17513.556153846155,,,,,Buy Call,17500
8,NIFTY-I.NFO,2022-01-03 09:55:00,F,78400,17526.7,17529.0,17517.0,17527.1,17518.191341088102,,,,,Buy Call,17500
9,NIFTY-I.NFO,2022-01-03 10:00:00,F,75400,17527.25,17530.0,17519.4,17527.6,17521.382907367515,,,,,Buy Call,17500
10,NIFTY-I.NFO,2022-01-03 10:05:00,F,57000,17529.15,17529.6,17520.05,17528.25,17523.698711300465,,,,,Buy Call,17500
11,NIFTY-I.NFO,2022-01-03 10:10:00,F,85450,17528.8,17536.95,17524.55,17531.5,17526.31933895268,,,,,Buy Call,17500
12,NIFTY-I.NFO,2022-01-03 10:15:00,F,81200,17531.9,17532.0,17520.2,17523.0,17525.207178095632,,,,,Buy Put,17500
13,NIFTY-I.NFO,2022-01-03 10:20:00,F,123500,17523.0,17547.45,17522.6,17544.35,17531.610051693195,,,,,Buy Call,17500
14,NIFTY-I.NFO,2022-01-03 10:25:00,F,111250,17546.35,17552.35,17543.3,17547.85,17537.03575825507,,,,,Buy Call,17500
15,NIFTY-I.NFO,2022-01-03 10:30:00,F,71250,17546.4,17557.0,17545.25,17554.65,17542.91612466827,,,,,Buy Call,17600
16,NIFTY-I.NFO,2022-01-03 10:35:00,F,59600,17554.65,17555.0,17542.85,17544.6,17543.47798671258,,,,,Buy Call,17500
17,NIFTY-I.NFO,2022-01-03 10:40:00,F,81000,17544.6,17550.0,17544.6,17549.95,17545.63678520335,,,,,Buy Call,17500
18,NIFTY-I.NFO,2022-01-03 10:45:00,F,34400,17548.1,17552.95,17542.95,17548.55,17546.608295043512,,,,,Buy Call,17500
19,NIFTY-I.NFO,2022-01-03 10:50:00,F,34800,17547.0,17556.05,17547.0,17552.9,17548.7061609174,,,,,Buy Call,17600
20,NIFTY-I.NFO,2022-01-03 10:55:00,F,52150,17552.9,17560.0,17551.0,17558.0,17551.804728496987,,,,,Buy Call,17600
21,NIFTY-I.NFO,2022-01-03 11:00:00,F,45050,17558.95,17562.8,17555.5,17557.5,17553.703406103225,,,,,Buy Call,17600
22,NIFTY-I.NFO,2022-01-03 11:05:00,F,88750,17557.5,17563.1,17554.1,17555.0,17554.13564258316,,,,,Buy Call,17600
23,NIFTY-I.NFO,2022-01-03 11:10:00,F,77600,17553.4,17570.0,17551.15,17567.6,17558.62402834655,,,,,Buy Call,17600
24,NIFTY-I.NFO,2022-01-03 11:15:00,F,237550,17570.0,17574.1,17557.0,17564.25,17560.499426500788,,,,,Buy Call,17600
25,NIFTY-I.NFO,2022-01-03 11:20:00,F,160500,17564.25,17568.65,17559.15,17562.0,17560.9996308733,,,,,Buy Call,17600
26,NIFTY-I.NFO,2022-01-03 11:25:00,F,34950,17564.95,17570.0,17563.05,17569.0,17563.66646752105,,,,,Buy Call,17600
27,NIFTY-I.NFO,2022-01-03 11:30:00,F,40900,17569.0,17569.0,17557.1,17562.0,17563.1109718292,,,,,Buy Put,17600
28,NIFTY-I.NFO,2022-01-03 11:35:00,F,43500,17561.0,17568.45,17559.0,17564.0,17563.407316871002,,,,,Buy Call,17600
29,NIFTY-I.NFO,2022-01-03 11:40:00,F,38850,17564.0,17569.9,17561.35,17567.0,17564.604884159427,,,,,Buy Call,17600
30,NIFTY-I.NFO,2022-01-03 11:45:00,F,24950,17566.95,17568.0,17560.05,17562.05,17563.753253145394,,,,,Buy Put,17600
31,NIFTY-I.NFO,2022-01-03 11:50:00,F,25100,17562.05,17566.7,17557.85,17564.35,17563.95216922465,,,,,Buy Call,17600
32,NIFTY-I.NFO,2022-01-03 11:55:00,F,18650,17564.35,17567.75,17559.1,17567.75,17565.218114772586,,,,,Buy Call,17600
33,NIFTY-I.NFO,2022-01-03 12:00:00,F,35400,17568.5,17570.0,17560.85,17561.0,17563.812075066635,,,,,Buy Put,17600
34,NIFTY-I.NFO,2022-01-03 12:05:00,F,32550,17561.0,17564.95,17559.0,17560.1,17562.57471586132,,,,,Buy Put,17600
35,NIFTY-I.NFO,2022-01-03 12:10:00,F,22250,17560.1,17567.5,17559.0,17567.05,17564.066477923872,,,,,Buy Call,17600
36,NIFTY-I.NFO,2022-01-03 12:15:00,F,71450,17567.05,17580.3,17564.9,17579.75,17569.294320211597,,,,,Buy Call,17600
37,NIFTY-I.NFO,2022-01-03 12:20:00,F,62400,17579.45,17583.15,17573.15,17582.9,17573.829547730584,,,,,Buy Call,17600
38,NIFTY-I.NFO,2022-01-03 12:25:00,F,33500,17582.0,17582.85,17577.2,17581.45,17576.369698831644,,,,,Buy Call,17600
39,NIFTY-I.NFO,2022-01-03 12:30:00,F,83150,17581.45,17593.0,17581.45,17587.35,17580.029799552107,,,,,Buy Call,17600
40,NIFTY-I.NFO,2022-01-03 12:35:00,F,126100,17588.15,17602.45,17588.0,17600.0,17586.686533436085,,,,,Buy Call,17600
41,NIFTY-I.NFO,2022-01-03 12:40:00,F,138650,17598.75,17625.95,17598.1,17613.9,17595.757689322003,,,,,Buy Call,17600
42,NIFTY-I.NFO,2022-01-03 12:45:00,F,90700,17613.9,17619.0,17609.85,17618.1,17603.205126414232,,,,,Buy Call,17600
43,NIFTY-I.NFO,2022-01-03 12:50:00,F,51050,17616.9,17618.65,17607.1,17609.7,17605.37008431483,,,,,Buy Call,17600
44,NIFTY-I.NFO,2022-01-03 12:55:00,F,45150,17609.7,17613.0,17600.15,17609.05,17606.59672289116,,,,,Buy Call,17600
45,NIFTY-I.NFO,2022-01-03 13:00:00,F,31650,17610.05,17616.0,17610.0,17614.9,17609.36448194942,,,,,Buy Call,17600
46,NIFTY-I.NFO,2022-01-03 13:05:00,F,29500,17614.9,17618.0,17607.8,17612.0,17610.24298797093,,,,,Buy Call,17600
47,NIFTY-I.NFO,2022-01-03 13:10:00,F,29450,17614.3,17621.0,17612.2,17616.35,17612.278658654468,,,,,Buy Call,17600
48,NIFTY-I.NFO,2022-01-03 13:15:00,F,147300,17616.35,17630.5,17615.05,17618.85,17614.4691057748,,,,,Buy Call,17600
49,NIFTY-I.NFO,2022-01-03 13:20:00,F,68600,17617.9,17627.6,17613.5,17622.0,17616.979403853802,,,,,Buy Call,17600
50,NIFTY-I.NFO,2022-01-03 13:25:00,F,28100,17623.6,17626.45,17620.0,17623.0,17618.986269237965,,,,,Buy Call,17600
51,NIFTY-I.NFO,2022-01-03 13:30:00,F,63650,17623.25,17626.0,17609.25,17621.1,17619.690846159134,,,,,Buy Call,17600
52,NIFTY-I.NFO,2022-01-03 13:35:00,F,44550,17622.0,17624.5,17609.55,17610.75,17616.710564104702,,,,,Buy Put,17600
53,NIFTY-I.NFO,2022-01-03 13:40:00,F,37200,17610.55,17620.0,17606.0,17620.0,17617.807042736807,,,,,Buy Call,17600
54,NIFTY-I.NFO,2022-01-03 13:45:00,F,74750,17618.0,17637.0,17618.0,17635.25,17623.62136182574,,,,,Buy Call,17600
55,NIFTY-I.NFO,2022-01-03 13:50:00,F,53650,17635.4,17640.0,17632.0,17637.65,17628.29757455114,,,,,Buy Call,17600
56,NIFTY-I.NFO,2022-01-03 13:55:00,F,67500,17637.85,17641.0,17634.0,17640.0,17632.19838303445,,,,,Buy Call,17600
