,Date,Entry Time,Entry Price,Exit Time,Exit Price,Trade Type,Profit/Loss,Strike,Future ema5 at Entry,Future Close at Entry
0,2022-01-03,09:20:00,122.1,09:25:00,134.2,Buy Call,604.9999999999998,17600.0,17493.5,17483.6
1,2022-01-03,09:25:00,78.2,09:30:00,86.55,Buy Put,417.4999999999997,17600.0,17498.923684210527,17504.95
2,2022-01-03,09:30:00,123.35,09:35:00,126.45,Buy Call,155.00000000000043,17600.0,17497.106923076924,17494.55
3,2022-01-03,09:35:00,83.6,09:40:00,87.0,Buy Put,170.00000000000028,17600.0,17501.998815165876,17509.85
4,2022-01-03,09:40:00,118.5,09:45:00,123.95,Buy Call,272.5000000000001,17600.0,17500.30007518797,17497.35
5,2022-01-03,09:45:00,81.9,10:15:00,96.6,Buy Put,734.9999999999994,17600.0,17506.97399222924,17519.15
6,2022-01-03,10:15:00,104.6,10:20:00,108.6,Buy Call,200.0,17600.0,17525.207178095632,17523.0
7,2022-01-03,10:20:00,92.85,15:30:00,193.5,,5032.5,17600.0,17531.610051693195,17544.35
