Datetime,Date,Time,open,high,low,close,BuyPrice,SellPrice,Strike,EMA5
2022-10-27 09:15:00,2022-10-27,09:15:00,71.5,83.5,71.5,78.65,78.9,80.9,17700,78.65
2022-10-27 09:20:00,2022-10-27,09:20:00,79.65,86.0,77.45,83.85,79.65,79.8,17700,81.77
2022-10-27 09:25:00,2022-10-27,09:25:00,85.2,87.8,80.1,83.9,85.0,85.2,17700,82.77894736842104
2022-10-27 09:30:00,2022-10-27,09:30:00,84.8,85.8,81.0,81.8,84.75,84.95,17700,82.37230769230769
2022-10-27 09:35:00,2022-10-27,09:35:00,81.9,84.25,77.05,78.2,81.45,81.55,17700,80.77061611374407
2022-10-27 09:40:00,2022-10-27,09:40:00,77.7,83.6,77.1,80.6,77.6,77.7,17700,80.70827067669173
2022-10-27 09:45:00,2022-10-27,09:45:00,80.5,80.9,74.4,76.2,80.35,80.5,17700,79.11209324915009
2022-10-27 09:50:00,2022-10-27,09:50:00,75.95,78.6,75.05,76.2,75.65,75.75,17700,78.10198255352896
2022-10-27 09:55:00,2022-10-27,09:55:00,76.15,81.25,75.05,78.75,76.15,76.3,17700,78.32375723749414
2022-10-27 10:00:00,2022-10-27,10:00:00,78.95,82.4,77.55,82.2,78.95,79.0,17700,79.63864024127531
2022-10-27 10:05:00,2022-10-27,10:05:00,82.4,82.4,77.3,80.85,82.3,82.4,17700,80.04714961250492
2022-10-27 10:10:00,2022-10-27,10:10:00,80.95,83.5,78.9,83.0,81.0,81.2,17700,81.03907821255535
2022-10-27 10:15:00,2022-10-27,10:15:00,83.25,84.35,79.0,79.45,83.15,83.3,17700,80.5066497344797
2022-10-27 10:20:00,2022-10-27,10:20:00,79.8,80.7,77.25,79.0,79.75,79.9,17700,80.00270690651695
2022-10-27 10:25:00,2022-10-27,10:25:00,78.75,80.4,77.0,80.4,78.7,78.75,17700,80.13544105711745
2022-10-27 10:30:00,2022-10-27,10:30:00,80.6,81.45,78.0,79.95,80.55,80.7,17700,80.0735331203642
2022-10-27 10:35:00,2022-10-27,10:35:00,79.95,80.35,77.7,78.95,79.85,79.9,17700,79.69864158061546
2022-10-27 10:40:00,2022-10-27,10:40:00,79.1,81.1,78.2,80.5,79.0,79.2,17700,79.96594191970732
2022-10-27 10:45:00,2022-10-27,10:45:00,80.45,81.7,79.35,79.6,80.45,80.6,17700,79.84390623036091
2022-10-27 10:50:00,2022-10-27,10:50:00,79.7,81.1,78.35,79.25,79.6,79.7,17700,79.64587793412315
2022-10-27 10:55:00,2022-10-27,10:55:00,79.35,80.3,77.5,77.5,79.5,79.6,17700,78.93044185465986
2022-10-27 11:00:00,2022-10-27,11:00:00,77.4,78.9,76.35,76.45,77.4,77.5,17700,78.10351737871127
2022-10-27 11:05:00,2022-10-27,11:05:00,76.2,79.5,75.65,78.6,76.2,76.3,17700,78.26902633344787
2022-10-27 11:10:00,2022-10-27,11:10:00,78.65,79.5,76.7,77.9,78.5,78.55,17700,78.14601024808377
2022-10-27 11:15:00,2022-10-27,11:15:00,77.9,79.7,77.5,77.5,77.9,77.95,17700,77.93066497059127
2022-10-27 11:20:00,2022-10-27,11:20:00,77.6,78.5,77.15,77.7,77.6,77.8,17700,77.85377461704643
