Datetime,Date,Time,open,high,low,close,BuyPrice,SellPrice,Strike,EMA5
2022-10-13 09:15:00,2022-10-13,09:15:00,38.0,44.0,30.0,34.15,39.0,40.35,17200,34.15
2022-10-13 09:20:00,2022-10-13,09:20:00,33.2,35.4,28.6,34.1,33.15,33.25,17200,34.120000000000005
2022-10-13 09:25:00,2022-10-13,09:25:00,34.5,39.55,33.95,39.3,34.4,34.5,17200,36.57368421052631
2022-10-13 09:30:00,2022-10-13,09:30:00,39.15,41.6,34.85,40.8,39.05,39.2,17200,38.32923076923076
2022-10-13 09:35:00,2022-10-13,09:35:00,40.7,41.6,37.0,40.2,40.65,40.7,17200,39.0473933649289
2022-10-13 09:40:00,2022-10-13,09:40:00,40.4,43.15,39.95,41.85,40.2,40.3,17200,40.071503759398496
2022-10-13 09:45:00,2022-10-13,09:45:00,41.8,42.95,37.75,38.8,41.8,41.85,17200,39.62132102962603
2022-10-13 09:50:00,2022-10-13,09:50:00,38.65,43.3,37.9,42.1,38.6,38.7,17200,40.481094369547975
2022-10-13 09:55:00,2022-10-13,09:55:00,42.05,42.4,39.35,40.4,42.05,42.15,17200,40.45334098377758
2022-10-13 10:00:00,2022-10-13,10:00:00,40.6,40.65,32.7,34.15,40.5,40.6,17200,38.31514778112882
2022-10-13 10:05:00,2022-10-13,10:05:00,34.3,34.3,28.2,28.75,34.35,34.4,17200,35.08947309807595
2022-10-13 10:10:00,2022-10-13,10:10:00,28.85,31.45,27.8,30.55,28.85,28.9,17200,33.56456238325954
2022-10-13 10:15:00,2022-10-13,10:15:00,30.0,33.6,29.5,32.3,30.0,30.05,17200,33.14086453136595
2022-10-13 10:20:00,2022-10-13,10:20:00,32.45,35.65,30.7,34.8,32.45,32.55,17200,33.69581064850412
2022-10-13 10:25:00,2022-10-13,10:25:00,35.0,36.8,32.4,35.5,35.05,35.15,17200,34.298583626493155
2022-10-13 10:30:00,2022-10-13,10:30:00,35.6,36.25,29.6,30.15,35.55,35.65,17200,32.91361388593637
2022-10-13 10:35:00,2022-10-13,10:35:00,30.1,30.4,27.55,28.85,30.1,30.2,17200,31.557699726370448
2022-10-13 10:40:00,2022-10-13,10:40:00,28.85,30.85,28.2,29.1,28.75,28.85,17200,30.737911783355724
2022-10-13 10:45:00,2022-10-13,10:45:00,28.9,28.9,23.75,23.85,28.9,29.0,17200,28.44090502525787
2022-10-13 10:50:00,2022-10-13,10:50:00,23.5,24.2,22.15,22.55,23.45,23.55,17200,26.476679317874016
