Date,Time,Option,SL % 2,Target % 2,Exit Time % 2,Buy Price % 2,Exit Price % 2,Profit/Loss % 2,SL % 5,Target % 5,Exit Time % 5,Buy Price % 5,Exit Price % 5,Profit/Loss % 5,SL % 7,Target % 7,Exit Time % 7,Buy Price % 7,Exit Price % 7,Profit/Loss % 7,SL % 10,Target % 10,Exit Time % 10,Buy Price % 10,Exit Price % 10,Profit/Loss % 10
3/10/22,1900-01-01 09:25:00,Put,SL Hit First,SL Hit First,1900-01-01 09:25:06,158.8,155.624,-158.8000000000010,Target Hit First,Target Hit First,1900-01-01 09:25:18,158.8,166.74,397.0000000000000,Target Hit First,Target Hit First,1900-01-01 09:25:48,158.8,169.91600000000000,555.8000000000020,Target Hit First,Target Hit First,1900-01-01 09:25:54,158.8,174.68000000000000,794.0000000000010
3/10/22,1900-01-01 09:30:00,Put,Target Hit First,Target Hit First,1900-01-01 09:30:12,187.8,191.556,187.8,Target Hit First,Target Hit First,1900-01-01 09:30:24,187.8,197.19000000000000,469.50000000000100,Target Hit First,Target Hit First,1900-01-01 09:34:42,187.8,200.94600000000000,657.3000000000010,Close Price,Close Price,1900-01-01 09:35:00,187.8,200.45,632.4999999999990
3/10/22,1900-01-01 09:35:00,Put,SL Hit First,SL Hit First,1900-01-01 09:35:18,199.5,195.51,-199.50000000000000,Target Hit First,Target Hit First,1900-01-01 09:36:18,199.5,209.475,498.7500000000000,Target Hit First,Target Hit First,1900-01-01 09:36:24,199.5,213.465,698.2500000000000,Target Hit First,Target Hit First,1900-01-01 09:40:00,199.5,219.45,997.4999999999990
3/10/22,1900-01-01 09:40:00,Put,SL Hit First,SL Hit First,1900-01-01 09:40:42,218.9,214.522,-218.90000000000100,SL Hit First,SL Hit First,1900-01-01 09:42:42,218.9,207.955,-547.2500000000000,SL Hit First,SL Hit First,1900-01-01 09:43:00,218.9,203.577,-766.1500000000000,SL Hit First,SL Hit First,1900-01-01 09:43:36,218.9,197.01,-1094.5000000000000
3/10/22,1900-01-01 09:50:00,Put,Target Hit First,Target Hit First,1900-01-01 09:50:00,194.1,197.982,194.10000000000000,Target Hit First,Target Hit First,1900-01-01 09:52:30,194.1,203.805,485.2500000000010,Close Price,Close Price,1900-01-01 09:55:00,194.1,205.35,562.5,Close Price,Close Price,1900-01-01 09:55:00,194.1,205.35,562.5
3/10/22,1900-01-01 09:55:00,Put,Target Hit First,Target Hit First,1900-01-01 09:55:12,204.75,208.845,204.75000000000000,Target Hit First,Target Hit First,1900-01-01 09:56:00,204.75,214.9875,511.87500000000100,Close Price,Close Price,1900-01-01 10:00:00,204.75,215.2,522.4999999999990,Close Price,Close Price,1900-01-01 10:00:00,204.75,215.2,522.4999999999990
3/10/22,1900-01-01 10:00:00,Put,SL Hit First,SL Hit First,1900-01-01 10:00:06,218.05,213.689,-218.05000000000100,Target Hit First,Target Hit First,1900-01-01 10:02:00,218.05,228.9525,545.1249999999990,Close Price,Close Price,1900-01-01 10:05:00,218.05,230.65,630.0000000000000,Close Price,Close Price,1900-01-01 10:05:00,218.05,230.65,630.0000000000000
3/10/22,1900-01-01 10:05:00,Put,SL Hit First,SL Hit First,1900-01-01 10:06:48,229.2,224.616,-229.19999999999900,Close Price,Close Price,1900-01-01 10:10:00,229.2,227.7,-75.0,Close Price,Close Price,1900-01-01 10:10:00,229.2,227.7,-75.0,Close Price,Close Price,1900-01-01 10:10:00,229.2,227.7,-75.0
3/10/22,1900-01-01 10:15:00,Put,Target Hit First,Target Hit First,1900-01-01 10:15:18,218.15,222.513,218.15000000000000,Target Hit First,Target Hit First,1900-01-01 10:17:18,218.15,229.0575,545.375,Close Price,Close Price,1900-01-01 10:20:00,218.15,222.25,205.00000000000000,Close Price,Close Price,1900-01-01 10:20:00,218.15,222.25,205.00000000000000
3/10/22,1900-01-01 10:50:00,Put,Target Hit First,Target Hit First,1900-01-01 10:50:24,220.1,224.502,220.10000000000100,Close Price,Close Price,1900-01-01 10:55:00,220.1,222.6,125.0,Close Price,Close Price,1900-01-01 10:55:00,220.1,222.6,125.0,Close Price,Close Price,1900-01-01 10:55:00,220.1,222.6,125.0
3/10/22,1900-01-01 10:55:00,Put,SL Hit First,SL Hit First,1900-01-01 10:58:18,221.55,217.119,-221.55000000000100,Close Price,Close Price,1900-01-01 11:00:00,221.55,225.05,175.0,Close Price,Close Price,1900-01-01 11:00:00,221.55,225.05,175.0,Close Price,Close Price,1900-01-01 11:00:00,221.55,225.05,175.0
3/10/22,1900-01-01 11:45:00,Put,Target Hit First,Target Hit First,1900-01-01 11:46:12,159.65,162.84300000000000,159.6500000000010,Target Hit First,Target Hit First,1900-01-01 11:48:12,159.65,167.63250000000000,399.1250000000010,Target Hit First,Target Hit First,1900-01-01 11:48:42,159.65,170.8255,558.775,Close Price,Close Price,1900-01-01 11:50:00,159.65,175.35,784.9999999999990
3/10/22,1900-01-01 11:50:00,Put,Target Hit First,Target Hit First,1900-01-01 11:50:06,173.8,177.276,173.80000000000000,Close Price,Close Price,1900-01-01 11:55:00,173.8,175.85,102.49999999999900,Close Price,Close Price,1900-01-01 11:55:00,173.8,175.85,102.49999999999900,Close Price,Close Price,1900-01-01 11:55:00,173.8,175.85,102.49999999999900
3/10/22,1900-01-01 11:55:00,Put,SL Hit First,SL Hit First,1900-01-01 11:55:18,176.1,172.578,-176.10000000000000,Close Price,Close Price,1900-01-01 12:00:00,176.1,170.0,-305.0000000000000,Close Price,Close Price,1900-01-01 12:00:00,176.1,170.0,-305.0000000000000,Close Price,Close Price,1900-01-01 12:00:00,176.1,170.0,-305.0000000000000
3/10/22,1900-01-01 12:10:00,Put,Target Hit First,Target Hit First,1900-01-01 12:10:12,177.45,180.999,177.45000000000000,Target Hit First,Target Hit First,1900-01-01 12:13:12,177.45,186.3225,443.6250000000000,Close Price,Close Price,1900-01-01 12:15:00,177.45,186.8,467.50000000000100,Close Price,Close Price,1900-01-01 12:15:00,177.45,186.8,467.50000000000100
