Date,Time,Option,SL % 2,Target % 2,Exit Time % 2,Buy Price % 2,Exit Price % 2,Profit/Loss % 2,SL % 5,Target % 5,Exit Time % 5,Buy Price % 5,Exit Price % 5,Profit/Loss % 5,SL % 7,Target % 7,Exit Time % 7,Buy Price % 7,Exit Price % 7,Profit/Loss % 7,SL % 10,Target % 10,Exit Time % 10,Buy Price % 10,Exit Price % 10,Profit/Loss % 10
8/10/22,1900-01-01 10:10:00,Put,Target Hit First,Target Hit First,1900-01-01 10:13:00,191.5,195.33,191.50000000000100,Target Hit First,Target Hit First,1900-01-01 10:14:12,191.5,201.075,478.74999999999900,Close Price,Close Price,1900-01-01 10:15:00,191.5,201.4,495.0000000000000,Close Price,Close Price,1900-01-01 10:15:00,191.5,201.4,495.0000000000000
8/10/22,1900-01-01 10:15:00,Put,Target Hit First,Target Hit First,1900-01-01 10:15:12,198.95,202.929,198.95000000000100,Close Price,Close Price,1900-01-01 10:20:00,198.95,201.25,115.00000000000100,Close Price,Close Price,1900-01-01 10:20:00,198.95,201.25,115.00000000000100,Close Price,Close Price,1900-01-01 10:20:00,198.95,201.25,115.00000000000100
8/10/22,1900-01-01 10:20:00,Put,Target Hit First,Target Hit First,1900-01-01 10:22:18,201.4,205.428,201.40000000000000,Close Price,Close Price,1900-01-01 10:25:00,201.4,207.75,317.5000000000000,Close Price,Close Price,1900-01-01 10:25:00,201.4,207.75,317.5000000000000,Close Price,Close Price,1900-01-01 10:25:00,201.4,207.75,317.5000000000000
8/10/22,1900-01-01 11:50:00,Put,Target Hit First,Target Hit First,1900-01-01 11:52:00,214.85,219.147,214.85000000000000,Close Price,Close Price,1900-01-01 11:55:00,214.85,224.0,457.5000000000000,Close Price,Close Price,1900-01-01 11:55:00,214.85,224.0,457.5000000000000,Close Price,Close Price,1900-01-01 11:55:00,214.85,224.0,457.5000000000000
8/10/22,1900-01-01 11:55:00,Put,Target Hit First,Target Hit First,1900-01-01 11:55:48,223.85,228.327,223.8500000000000,Close Price,Close Price,1900-01-01 12:00:00,223.85,232.25,420.0000000000000,Close Price,Close Price,1900-01-01 12:00:00,223.85,232.25,420.0000000000000,Close Price,Close Price,1900-01-01 12:00:00,223.85,232.25,420.0000000000000
8/10/22,1900-01-01 12:55:00,Put,Target Hit First,Target Hit First,1900-01-01 12:56:24,205.8,209.91600000000000,205.80000000000200,Target Hit First,Target Hit First,1900-01-01 12:57:36,205.8,216.09000000000000,514.500000000001,Close Price,Close Price,1900-01-01 13:00:00,205.8,218.0,609.9999999999990,Close Price,Close Price,1900-01-01 13:00:00,205.8,218.0,609.9999999999990
8/10/22,1900-01-01 13:00:00,Put,Target Hit First,Target Hit First,1900-01-01 13:02:24,215.75,220.065,215.7500000000000,Close Price,Close Price,1900-01-01 13:05:00,215.75,214.4,-67.49999999999970,Close Price,Close Price,1900-01-01 13:05:00,215.75,214.4,-67.49999999999970,Close Price,Close Price,1900-01-01 13:05:00,215.75,214.4,-67.49999999999970
8/10/22,1900-01-01 13:10:00,Put,Target Hit First,Target Hit First,1900-01-01 13:11:06,208.6,212.772,208.60000000000000,Target Hit First,Target Hit First,1900-01-01 13:14:42,208.6,219.03,521.5000000000000,Close Price,Close Price,1900-01-01 13:15:00,208.6,218.35,487.5,Close Price,Close Price,1900-01-01 13:15:00,208.6,218.35,487.5
8/10/22,1900-01-01 13:15:00,Put,Target Hit First,Target Hit First,1900-01-01 13:15:36,218.8,223.176,218.79999999999900,Close Price,Close Price,1900-01-01 13:20:00,218.8,216.85,-97.50000000000090,Close Price,Close Price,1900-01-01 13:20:00,218.8,216.85,-97.50000000000090,Close Price,Close Price,1900-01-01 13:20:00,218.8,216.85,-97.50000000000090
8/10/22,1900-01-01 14:35:00,Put,Target Hit First,Target Hit First,1900-01-01 14:35:06,188.25,192.015,188.24999999999900,Close Price,Close Price,1900-01-01 14:40:00,188.25,185.7,-127.50000000000100,Close Price,Close Price,1900-01-01 14:40:00,188.25,185.7,-127.50000000000100,Close Price,Close Price,1900-01-01 14:40:00,188.25,185.7,-127.50000000000100
8/10/22,1900-01-01 14:50:00,Put,SL Hit First,SL Hit First,1900-01-01 14:54:12,174.4,170.912,-174.40000000000000,Close Price,Close Price,1900-01-01 14:55:00,174.4,173.05,-67.49999999999970,Close Price,Close Price,1900-01-01 14:55:00,174.4,173.05,-67.49999999999970,Close Price,Close Price,1900-01-01 14:55:00,174.4,173.05,-67.49999999999970
8/10/22,1900-01-01 15:00:00,Put,SL Hit First,SL Hit First,1900-01-01 15:00:00,180.45,176.84100000000000,-180.45000000000000,Close Price,Close Price,1900-01-01 15:05:00,180.45,183.25,140.00000000000100,Close Price,Close Price,1900-01-01 15:05:00,180.45,183.25,140.00000000000100,Close Price,Close Price,1900-01-01 15:05:00,180.45,183.25,140.00000000000100
8/10/22,1900-01-01 15:05:00,Put,Target Hit First,Target Hit First,1900-01-01 15:05:30,182.6,186.252,182.60000000000100,Close Price,Close Price,1900-01-01 15:10:00,182.6,181.0,-79.99999999999970,Close Price,Close Price,1900-01-01 15:10:00,182.6,181.0,-79.99999999999970,Close Price,Close Price,1900-01-01 15:10:00,182.6,181.0,-79.99999999999970
