Datetime,Date,Time,open,high,low,close,BuyPrice,SellPrice,Strike,EMA5
2022-10-20 09:15:00,2022-10-20,09:15:00,90.1,120.0,59.25,61.4,60.9,66.8,17300,61.4
2022-10-20 09:20:00,2022-10-20,09:20:00,60.25,66.3,57.35,66.3,60.2,60.35,17300,64.34
2022-10-20 09:25:00,2022-10-20,09:25:00,66.5,66.5,55.55,55.9,66.35,66.5,17300,60.34210526315789
2022-10-20 09:30:00,2022-10-20,09:30:00,55.25,55.55,50.45,52.45,55.2,55.35,17300,57.063846153846164
2022-10-20 09:35:00,2022-10-20,09:35:00,52.65,55.9,51.2,53.15,52.4,52.6,17300,55.561374407582946
2022-10-20 09:40:00,2022-10-20,09:40:00,53.4,57.5,49.5,56.1,53.2,53.4,17300,55.75819548872182
2022-10-20 09:45:00,2022-10-20,09:45:00,56.1,60.4,55.6,59.8,55.95,56.1,17300,57.189218067022836
2022-10-20 09:50:00,2022-10-20,09:50:00,59.65,64.8,59.1,64.2,59.5,59.65,17300,59.621030927835065
2022-10-20 09:55:00,2022-10-20,09:55:00,64.35,65.15,61.25,63.5,64.3,64.4,17300,60.94855250117366
2022-10-20 10:00:00,2022-10-20,10:00:00,63.75,79.2,63.75,77.5,63.6,63.8,17300,66.56306591986213
2022-10-20 10:05:00,2022-10-20,10:05:00,77.55,83.35,75.25,81.75,77.4,77.55,17300,71.68458729061844
2022-10-20 10:10:00,2022-10-20,10:10:00,81.45,89.05,80.85,88.95,81.3,81.45,17300,77.4844262295082
2022-10-20 10:15:00,2022-10-20,10:15:00,88.75,98.75,88.75,97.6,88.6,88.75,17300,84.22424824935645
2022-10-20 10:20:00,2022-10-20,10:20:00,97.7,103.2,93.4,102.55,97.7,97.9,17300,90.3538289676991
2022-10-20 10:25:00,2022-10-20,10:25:00,102.6,102.8,87.45,87.9,102.45,102.55,17300,89.53401380078805
2022-10-20 10:30:00,2022-10-20,10:30:00,87.75,99.5,87.75,96.9,87.6,87.75,17300,91.99308632137529
2022-10-20 10:35:00,2022-10-20,10:35:00,97.8,114.4,94.75,114.4,97.8,97.95,17300,99.46964595076481
2022-10-20 10:40:00,2022-10-20,10:40:00,113.75,123.65,112.8,118.2,113.6,113.75,17300,105.71732472665674
2022-10-20 10:45:00,2022-10-20,10:45:00,119.0,122.85,108.3,109.7,118.8,119.0,17300,107.04548227366321
2022-10-20 10:50:00,2022-10-20,10:50:00,109.55,111.8,103.0,106.6,109.65,109.85,17300,106.89694351257958
2022-10-20 10:55:00,2022-10-20,10:55:00,106.0,109.5,97.2,102.4,105.75,105.95,17300,105.39766175705772
2022-10-20 11:00:00,2022-10-20,11:00:00,103.15,105.5,96.65,101.3,103.0,103.15,17300,104.03159191966007
2022-10-20 11:05:00,2022-10-20,11:05:00,101.4,106.1,93.5,98.65,101.55,101.65,17300,102.23756809032692
2022-10-20 11:10:00,2022-10-20,11:10:00,98.0,110.0,98.0,109.25,98.0,98.15,17300,104.57518425541332
2022-10-20 11:15:00,2022-10-20,11:15:00,109.75,114.05,103.05,104.45,109.75,109.95,17300,104.53345451768914
2022-10-20 11:20:00,2022-10-20,11:20:00,104.25,108.0,99.5,104.85,104.3,104.45,17300,104.63897246428293
