Datetime,Date,Time,open,high,low,close,BuyPrice,SellPrice,Strike,EMA5
2022-10-20 09:15:00,2022-10-20,09:15:00,188.0,188.0,171.45,174.8,160.85,183.75,17100,174.8
2022-10-20 09:20:00,2022-10-20,09:20:00,174.0,181.9,168.0,181.1,173.55,173.95,17100,178.57999999999998
2022-10-20 09:25:00,2022-10-20,09:25:00,181.5,183.15,170.0,172.85,181.2,181.7,17100,175.86578947368417
2022-10-20 09:30:00,2022-10-20,09:30:00,174.35,180.5,166.0,171.75,174.3,174.65,17100,174.1561538461538
2022-10-20 09:35:00,2022-10-20,09:35:00,170.9,170.9,162.0,162.0,170.9,170.95,17100,169.48957345971561
2022-10-20 09:40:00,2022-10-20,09:40:00,161.65,164.85,157.3,161.8,161.55,161.95,17100,166.6796992481203
2022-10-20 09:45:00,2022-10-20,09:45:00,161.65,167.25,159.1,167.0,161.65,162.05,17100,166.79310344827587
2022-10-20 09:50:00,2022-10-20,09:50:00,167.25,167.4,159.0,160.7,166.9,167.25,17100,164.6796034892942
2022-10-20 09:55:00,2022-10-20,09:55:00,160.0,160.5,154.55,157.4,160.0,160.35,17100,162.1882635230296
2022-10-20 10:00:00,2022-10-20,10:00:00,156.95,160.6,150.3,156.95,156.8,157.15,17100,160.4113614821198
2022-10-20 10:05:00,2022-10-20,10:05:00,157.0,160.0,154.0,154.25,157.1,157.55,17100,158.33355273302533
2022-10-20 10:10:00,2022-10-20,10:10:00,154.1,154.65,149.15,149.75,154.05,154.4,17100,155.45014506632282
2022-10-20 10:15:00,2022-10-20,10:15:00,147.8,154.55,146.3,154.55,147.45,147.9,17100,155.14854703047857
2022-10-20 10:20:00,2022-10-20,10:20:00,154.55,154.55,145.65,146.35,154.05,154.2,17100,152.20561705078165
2022-10-20 10:25:00,2022-10-20,10:25:00,145.65,147.4,143.15,145.5,145.65,145.95,17100,149.96529523777326
