Datetime,Date,Time,open,high,low,close,BuyPrice,SellPrice,Strike,EMA5
2022-10-20 09:15:00,2022-10-20,09:15:00,200.0,214.7,197.7,211.0,203.0,212.5,17100,211.0
2022-10-20 09:20:00,2022-10-20,09:20:00,211.9,218.55,204.4,206.3,211.65,211.75,17100,208.18
2022-10-20 09:25:00,2022-10-20,09:25:00,205.8,214.95,204.05,209.7,205.5,205.85,17100,208.89999999999998
2022-10-20 09:30:00,2022-10-20,09:30:00,208.0,217.4,203.2,211.0,207.55,207.85,17100,209.77230769230766
2022-10-20 09:35:00,2022-10-20,09:35:00,211.35,221.55,211.35,221.55,210.95,211.4,17100,214.29360189573458
2022-10-20 09:40:00,2022-10-20,09:40:00,221.2,229.4,219.85,224.4,221.4,222.0,17100,217.9866165413534
2022-10-20 09:45:00,2022-10-20,09:45:00,224.45,227.7,215.4,215.45,224.0,224.65,17100,217.08851384167073
2022-10-20 09:50:00,2022-10-20,09:50:00,215.6,223.8,215.1,222.65,215.15,215.7,17100,219.01761300555117
2022-10-20 09:55:00,2022-10-20,09:55:00,223.5,230.0,223.05,226.4,223.05,223.6,17100,221.54412915340882
2022-10-20 10:00:00,2022-10-20,10:00:00,225.65,232.95,220.25,226.45,226.0,226.4,17100,223.2082783283068
2022-10-20 10:05:00,2022-10-20,10:05:00,226.45,232.8,222.95,231.75,226.5,226.95,17100,226.08882089560765
2022-10-20 10:10:00,2022-10-20,10:10:00,232.5,240.95,232.25,239.95,232.25,232.8,17100,230.74510149901872
2022-10-20 10:15:00,2022-10-20,10:15:00,242.4,246.0,233.35,233.55,242.35,242.4,17100,231.6848965501589
2022-10-20 10:20:00,2022-10-20,10:20:00,233.3,245.2,233.15,243.95,233.4,233.95,17100,235.78731715683244
2022-10-20 10:25:00,2022-10-20,10:25:00,245.4,251.25,243.5,248.15,245.3,245.8,17100,239.91764369219945
2022-10-20 10:30:00,2022-10-20,10:30:00,247.35,256.4,247.35,254.45,246.9,247.6,17100,244.7691485809431
2022-10-20 10:35:00,2022-10-20,10:35:00,255.0,258.75,241.8,243.1,254.55,255.0,17100,244.21220044097518
2022-10-20 10:40:00,2022-10-20,10:40:00,243.95,249.95,235.0,236.25,243.85,243.95,17100,241.55633656495257
2022-10-20 10:45:00,2022-10-20,10:45:00,236.7,241.15,233.0,241.15,236.05,236.7,17100,241.42082991720284
2022-10-20 10:50:00,2022-10-20,10:50:00,241.15,250.0,240.9,247.7,241.25,241.75,17100,243.5145162429514
2022-10-20 10:55:00,2022-10-20,10:55:00,244.45,246.4,229.95,235.2,244.0,244.4,17100,240.74245506980657
