Datetime,Date,Time,open,high,low,close,BuyPrice,SellPrice,Strike,EMA5
2022-10-06 09:15:00,2022-10-06,09:15:00,197.0,231.25,173.65,178.15,192.1,244.85,17300,178.15
2022-10-06 09:20:00,2022-10-06,09:20:00,175.2,175.2,148.85,149.15,174.9,175.15,17300,160.75
2022-10-06 09:25:00,2022-10-06,09:25:00,147.0,157.05,144.0,147.9,146.5,146.95,17300,154.66315789473683
2022-10-06 09:30:00,2022-10-06,09:30:00,146.45,150.0,135.55,140.8,146.1,146.35,17300,148.90461538461537
2022-10-06 09:35:00,2022-10-06,09:35:00,139.5,158.7,138.5,157.35,139.3,139.5,17300,152.14668246445495
2022-10-06 09:40:00,2022-10-06,09:40:00,156.0,165.4,151.0,165.4,156.0,156.25,17300,156.9896240601504
2022-10-06 09:45:00,2022-10-06,09:45:00,165.2,166.25,155.95,160.25,165.1,165.4,17300,158.1439776590578
2022-10-06 09:50:00,2022-10-06,09:50:00,160.3,160.5,146.0,150.05,159.7,160.1,17300,155.33643933386202
2022-10-06 09:55:00,2022-10-06,09:55:00,149.45,149.45,136.4,137.1,149.6,149.7,17300,149.0952793281519
2022-10-06 10:00:00,2022-10-06,10:00:00,136.0,136.0,119.15,120.6,136.0,136.15,17300,139.42922878069797
2022-10-06 10:05:00,2022-10-06,10:05:00,120.5,124.6,118.6,121.3,120.5,120.75,17300,133.31547124769415
2022-10-06 10:10:00,2022-10-06,10:10:00,120.9,132.0,119.7,131.05,120.55,120.8,17300,132.55444870056607
2022-10-06 10:15:00,2022-10-06,10:15:00,131.55,131.55,121.95,121.95,131.25,131.4,17300,129.00137595822792
2022-10-06 10:20:00,2022-10-06,10:20:00,121.85,126.4,121.3,121.5,121.8,122.1,17300,126.49232257475741
2022-10-06 10:25:00,2022-10-06,10:25:00,121.2,127.4,115.5,127.4,121.2,121.4,17300,126.79557423967454
2022-10-06 10:30:00,2022-10-06,10:30:00,127.35,132.8,124.75,127.4,127.2,127.4,17300,126.997356694563
2022-10-06 10:35:00,2022-10-06,10:35:00,127.25,132.35,122.6,123.2,127.0,127.3,17300,125.73028510370638
2022-10-06 10:40:00,2022-10-06,10:40:00,123.5,123.5,112.45,113.25,123.35,123.6,17300,121.56737327862582
2022-10-06 10:45:00,2022-10-06,10:45:00,112.85,122.0,111.35,121.9,112.4,112.55,17300,121.67829889018296
2022-10-06 10:50:00,2022-10-06,10:50:00,121.65,126.5,119.65,120.75,121.45,121.65,17300,121.36877284343544
2022-10-06 10:55:00,2022-10-06,10:55:00,120.7,138.5,120.55,138.0,120.55,120.75,17300,126.91362689330852
2022-10-06 11:00:00,2022-10-06,11:00:00,138.35,151.1,134.95,141.2,138.45,138.75,17300,131.67638783941297
2022-10-06 11:05:00,2022-10-06,11:05:00,142.05,146.95,136.2,142.3,141.8,142.05,17300,135.21790745929727
2022-10-06 11:10:00,2022-10-06,11:10:00,142.05,145.6,132.55,133.9,141.9,142.1,17300,134.77857887534458
2022-10-06 11:15:00,2022-10-06,11:15:00,133.35,137.3,128.5,134.2,133.5,133.8,17300,134.58571161227567
2022-10-06 11:20:00,2022-10-06,11:20:00,134.0,141.4,134.0,138.9,134.0,134.1,17300,136.0238457102976
2022-10-06 11:25:00,2022-10-06,11:25:00,139.0,147.8,134.45,141.35,138.7,139.05,17300,137.79926172253275
2022-10-06 11:30:00,2022-10-06,11:30:00,140.2,144.8,134.0,142.55,140.2,140.45,17300,139.38285973023696
2022-10-06 11:35:00,2022-10-06,11:35:00,143.1,143.4,133.5,137.1,143.2,143.55,17300,138.62190053411283
2022-10-06 11:40:00,2022-10-06,11:40:00,137.45,140.6,127.2,132.7,137.7,137.85,17300,136.64792339493013
2022-10-06 11:45:00,2022-10-06,11:45:00,132.65,135.7,129.0,133.0,132.7,132.95,17300,135.4319447023238
2022-10-06 11:50:00,2022-10-06,11:50:00,133.5,133.5,123.05,123.6,133.55,133.8,17300,131.4879539934219
2022-10-06 11:55:00,2022-10-06,11:55:00,122.7,124.95,120.0,123.6,122.5,122.7,17300,128.85863193275108
2022-10-06 12:00:00,2022-10-06,12:00:00,123.0,126.0,120.3,125.1,122.9,123.0,17300,127.60575333119088
