Date,Time,Option,SL % 2,Target % 2,Exit Time % 2,Buy Price % 2,Exit Price % 2,Profit/Loss % 2,SL % 5,Target % 5,Exit Time % 5,Buy Price % 5,Exit Price % 5,Profit/Loss % 5,SL % 7,Target % 7,Exit Time % 7,Buy Price % 7,Exit Price % 7,Profit/Loss % 7,SL % 10,Target % 10,Exit Time % 10,Buy Price % 10,Exit Price % 10,Profit/Loss % 10
27/10/22,1900-01-01 10:10:00,Call,Target Hit First,Target Hit First,1900-01-01 10:10:54,123.95,126.429,123.95000000000000,Close Price,Close Price,1900-01-01 10:15:00,123.95,124.65,35.00000000000010,Close Price,Close Price,1900-01-01 10:15:00,123.95,124.65,35.00000000000010,Close Price,Close Price,1900-01-01 10:15:00,123.95,124.65,35.00000000000010
27/10/22,1900-01-01 10:15:00,Call,SL Hit First,SL Hit First,1900-01-01 10:15:54,125.2,122.696,-125.20000000000000,Close Price,Close Price,1900-01-01 10:20:00,125.2,126.0,39.99999999999990,Close Price,Close Price,1900-01-01 10:20:00,125.2,126.0,39.99999999999990,Close Price,Close Price,1900-01-01 10:20:00,125.2,126.0,39.99999999999990
27/10/22,1900-01-01 10:20:00,Call,Target Hit First,Target Hit First,1900-01-01 10:21:36,126.0,128.52,126.00000000000100,Close Price,Close Price,1900-01-01 10:25:00,126.0,129.35,167.50000000000000,Close Price,Close Price,1900-01-01 10:25:00,126.0,129.35,167.50000000000000,Close Price,Close Price,1900-01-01 10:25:00,126.0,129.35,167.50000000000000
27/10/22,1900-01-01 10:25:00,Call,SL Hit First,SL Hit First,1900-01-01 10:28:48,129.45,126.861,-129.44999999999900,Close Price,Close Price,1900-01-01 10:30:00,129.45,127.05,-120.00000000000000,Close Price,Close Price,1900-01-01 10:30:00,129.45,127.05,-120.00000000000000,Close Price,Close Price,1900-01-01 10:30:00,129.45,127.05,-120.00000000000000
27/10/22,1900-01-01 10:45:00,Call,SL Hit First,SL Hit First,1900-01-01 10:45:30,120.4,117.992,-120.40000000000000,Close Price,Close Price,1900-01-01 10:50:00,120.4,120.65,12.5,Close Price,Close Price,1900-01-01 10:50:00,120.4,120.65,12.5,Close Price,Close Price,1900-01-01 10:50:00,120.4,120.65,12.5
27/10/22,1900-01-01 10:50:00,Call,Target Hit First,Target Hit First,1900-01-01 10:55:00,120.5,122.91,120.50000000000000,Close Price,Close Price,1900-01-01 10:55:00,120.5,122.7,110.00000000000000,Close Price,Close Price,1900-01-01 10:55:00,120.5,122.7,110.00000000000000,Close Price,Close Price,1900-01-01 10:55:00,120.5,122.7,110.00000000000000
27/10/22,1900-01-01 11:15:00,Call,SL Hit First,SL Hit First,1900-01-01 11:17:36,127.95,125.391,-127.95000000000000,SL Hit First,SL Hit First,1900-01-01 11:20:00,127.95,121.5525,-319.8750000000000,Close Price,Close Price,1900-01-01 11:20:00,127.95,121.5,-322.5000000000000,Close Price,Close Price,1900-01-01 11:20:00,127.95,121.5,-322.5000000000000
27/10/22,1900-01-01 11:25:00,Call,Close Price,Close Price,1900-01-01 11:30:00,120.15,119.75,-20.000000000000300,Close Price,Close Price,1900-01-01 11:30:00,120.15,119.75,-20.000000000000300,Close Price,Close Price,1900-01-01 11:30:00,120.15,119.75,-20.000000000000300,Close Price,Close Price,1900-01-01 11:30:00,120.15,119.75,-20.000000000000300
27/10/22,1900-01-01 11:30:00,Call,SL Hit First,SL Hit First,1900-01-01 11:32:24,120.0,117.6,-120.00000000000000,Close Price,Close Price,1900-01-01 11:35:00,120.0,120.5,25.0,Close Price,Close Price,1900-01-01 11:35:00,120.0,120.5,25.0,Close Price,Close Price,1900-01-01 11:35:00,120.0,120.5,25.0
27/10/22,1900-01-01 11:35:00,Call,SL Hit First,SL Hit First,1900-01-01 11:37:24,120.3,117.894,-120.30000000000000,Close Price,Close Price,1900-01-01 11:40:00,120.3,117.2,-155.00000000000000,Close Price,Close Price,1900-01-01 11:40:00,120.3,117.2,-155.00000000000000,Close Price,Close Price,1900-01-01 11:40:00,120.3,117.2,-155.00000000000000
27/10/22,1900-01-01 11:45:00,Call,Close Price,Close Price,1900-01-01 11:50:00,117.0,117.3,14.999999999999900,Close Price,Close Price,1900-01-01 11:50:00,117.0,117.3,14.999999999999900,Close Price,Close Price,1900-01-01 11:50:00,117.0,117.3,14.999999999999900,Close Price,Close Price,1900-01-01 11:50:00,117.0,117.3,14.999999999999900
27/10/22,1900-01-01 11:55:00,Call,Target Hit First,Target Hit First,1900-01-01 11:56:24,112.8,115.056,112.80000000000000,Target Hit First,Target Hit First,1900-01-01 11:59:42,112.8,118.44,282.0,Close Price,Close Price,1900-01-01 12:00:00,112.8,118.6,290.0000000000000,Close Price,Close Price,1900-01-01 12:00:00,112.8,118.6,290.0000000000000
27/10/22,1900-01-01 12:00:00,Call,SL Hit First,SL Hit First,1900-01-01 12:04:24,118.85,116.473,-118.85000000000000,Close Price,Close Price,1900-01-01 12:05:00,118.85,116.95,-94.99999999999960,Close Price,Close Price,1900-01-01 12:05:00,118.85,116.95,-94.99999999999960,Close Price,Close Price,1900-01-01 12:05:00,118.85,116.95,-94.99999999999960
27/10/22,1900-01-01 12:10:00,Call,Target Hit First,Target Hit First,1900-01-01 12:11:06,111.1,113.322,111.10000000000000,Close Price,Close Price,1900-01-01 12:15:00,111.1,112.25,57.500000000000300,Close Price,Close Price,1900-01-01 12:15:00,111.1,112.25,57.500000000000300,Close Price,Close Price,1900-01-01 12:15:00,111.1,112.25,57.500000000000300
27/10/22,1900-01-01 12:15:00,Call,SL Hit First,SL Hit First,1900-01-01 12:19:54,112.55,110.299,-112.55000000000000,Close Price,Close Price,1900-01-01 12:20:00,112.55,110.7,-92.49999999999970,Close Price,Close Price,1900-01-01 12:20:00,112.55,110.7,-92.49999999999970,Close Price,Close Price,1900-01-01 12:20:00,112.55,110.7,-92.49999999999970
