Date,Time,Option,SL % 2,Target % 2,Exit Time % 2,Buy Price % 2,Exit Price % 2,Profit/Loss % 2,SL % 5,Target % 5,Exit Time % 5,Buy Price % 5,Exit Price % 5,Profit/Loss % 5,SL % 7,Target % 7,Exit Time % 7,Buy Price % 7,Exit Price % 7,Profit/Loss % 7,SL % 10,Target % 10,Exit Time % 10,Buy Price % 10,Exit Price % 10,Profit/Loss % 10
11/10/22,1900-01-01 10:40:00,Call,SL Hit First,SL Hit First,1900-01-01 10:41:12,87.65,85.897,-87.65,Target Hit First,Target Hit First,1900-01-01 10:44:36,87.65,92.0325,219.12500000000000,Target Hit First,Target Hit First,1900-01-01 10:44:42,87.65,93.7855,306.77500000000000,Close Price,Close Price,1900-01-01 10:45:00,87.65,92.55,245.00000000000000
11/10/22,1900-01-01 10:50:00,Call,SL Hit First,SL Hit First,1900-01-01 10:51:30,94.45,92.561,-94.44999999999980,SL Hit First,SL Hit First,1900-01-01 10:51:54,94.45,89.72750000000000,-236.12500000000100,Close Price,Close Price,1900-01-01 10:55:00,94.45,90.1,-217.50000000000000,Close Price,Close Price,1900-01-01 10:55:00,94.45,90.1,-217.50000000000000
11/10/22,1900-01-01 10:55:00,Call,SL Hit First,SL Hit First,1900-01-01 10:55:30,89.4,87.61200000000000,-89.39999999999980,SL Hit First,SL Hit First,1900-01-01 10:55:54,89.4,84.93,-223.50000000000000,Close Price,Close Price,1900-01-01 11:00:00,89.4,87.45,-97.50000000000010,Close Price,Close Price,1900-01-01 11:00:00,89.4,87.45,-97.50000000000010
11/10/22,1900-01-01 11:00:00,Call,SL Hit First,SL Hit First,1900-01-01 11:00:42,88.0,86.24,-88.00000000000030,Close Price,Close Price,1900-01-01 11:05:00,88.0,87.55,-22.500000000000100,Close Price,Close Price,1900-01-01 11:05:00,88.0,87.55,-22.500000000000100,Close Price,Close Price,1900-01-01 11:05:00,88.0,87.55,-22.500000000000100
11/10/22,1900-01-01 11:15:00,Call,Target Hit First,Target Hit First,1900-01-01 11:15:00,84.25,85.935,84.25000000000010,Target Hit First,Target Hit First,1900-01-01 11:15:06,84.25,88.4625,210.62500000000000,Target Hit First,Target Hit First,1900-01-01 11:15:18,84.25,90.1475,294.87500000000000,Close Price,Close Price,1900-01-01 11:20:00,84.25,87.1,142.50000000000000
11/10/22,1900-01-01 11:20:00,Call,SL Hit First,SL Hit First,1900-01-01 11:20:12,86.6,84.868,-86.60000000000000,Target Hit First,Target Hit First,1900-01-01 11:23:42,86.6,90.93,216.50000000000100,Target Hit First,Target Hit First,1900-01-01 11:24:12,86.6,92.662,303.1000000000010,Close Price,Close Price,1900-01-01 11:25:00,86.6,93.05,322.5000000000000
11/10/22,1900-01-01 12:55:00,Call,Target Hit First,Target Hit First,1900-01-01 12:55:18,77.65,79.203,77.64999999999990,Target Hit First,Target Hit First,1900-01-01 12:55:36,77.65,81.53250000000000,194.12500000000000,Target Hit First,Target Hit First,1900-01-01 12:56:00,77.65,83.08550000000000,271.7750000000000,Target Hit First,Target Hit First,1900-01-01 12:58:54,77.65,85.415,388.25
11/10/22,1900-01-01 13:05:00,Call,Target Hit First,Target Hit First,1900-01-01 13:05:06,78.75,80.325,78.75000000000010,Target Hit First,Target Hit First,1900-01-01 13:05:24,78.75,82.6875,196.875,Target Hit First,Target Hit First,1900-01-01 13:06:18,78.75,84.2625,275.6250000000000,Close Price,Close Price,1900-01-01 13:10:00,78.75,81.55,140.00000000000000
11/10/22,1900-01-01 13:30:00,Call,SL Hit First,SL Hit First,1900-01-01 13:30:24,73.95,72.471,-73.95000000000000,SL Hit First,SL Hit First,1900-01-01 13:31:12,73.95,70.2525,-184.87500000000000,SL Hit First,SL Hit First,1900-01-01 13:31:18,73.95,68.7735,-258.8250000000000,Close Price,Close Price,1900-01-01 13:35:00,73.95,74.55,29.999999999999700
11/10/22,1900-01-01 13:35:00,Call,SL Hit First,SL Hit First,1900-01-01 13:35:12,75.35,73.84300000000000,-75.35000000000030,SL Hit First,SL Hit First,1900-01-01 13:35:54,75.35,71.5825,-188.37500000000000,Close Price,Close Price,1900-01-01 13:40:00,75.35,76.6,62.5,Close Price,Close Price,1900-01-01 13:40:00,75.35,76.6,62.5
11/10/22,1900-01-01 13:45:00,Call,SL Hit First,SL Hit First,1900-01-01 13:45:12,75.95,74.431,-75.95000000000030,Close Price,Close Price,1900-01-01 13:50:00,75.95,75.25,-35.00000000000010,Close Price,Close Price,1900-01-01 13:50:00,75.95,75.25,-35.00000000000010,Close Price,Close Price,1900-01-01 13:50:00,75.95,75.25,-35.00000000000010
11/10/22,1900-01-01 13:55:00,Call,SL Hit First,SL Hit First,1900-01-01 13:56:12,73.4,71.932,-73.40000000000020,Close Price,Close Price,1900-01-01 14:00:00,73.4,73.6,9.999999999999430,Close Price,Close Price,1900-01-01 14:00:00,73.4,73.6,9.999999999999430,Close Price,Close Price,1900-01-01 14:00:00,73.4,73.6,9.999999999999430
11/10/22,1900-01-01 14:00:00,Call,SL Hit First,SL Hit First,1900-01-01 14:00:36,73.8,72.324,-73.80000000000000,SL Hit First,SL Hit First,1900-01-01 14:03:00,73.8,70.11,-184.5000000000000,Close Price,Close Price,1900-01-01 14:05:00,73.8,72.45,-67.49999999999970,Close Price,Close Price,1900-01-01 14:05:00,73.8,72.45,-67.49999999999970
11/10/22,1900-01-01 14:05:00,Call,SL Hit First,SL Hit First,1900-01-01 14:07:54,71.8,70.36400000000000,-71.80000000000040,Close Price,Close Price,1900-01-01 14:10:00,71.8,70.95,-42.499999999999700,Close Price,Close Price,1900-01-01 14:10:00,71.8,70.95,-42.499999999999700,Close Price,Close Price,1900-01-01 14:10:00,71.8,70.95,-42.499999999999700
11/10/22,1900-01-01 14:15:00,Call,Target Hit First,Target Hit First,1900-01-01 14:15:06,78.95,80.52900000000000,78.95000000000040,SL Hit First,SL Hit First,1900-01-01 14:19:30,78.95,75.0025,-197.37500000000000,Close Price,Close Price,1900-01-01 14:20:00,78.95,75.65,-165.00000000000000,Close Price,Close Price,1900-01-01 14:20:00,78.95,75.65,-165.00000000000000
11/10/22,1900-01-01 14:25:00,Call,Target Hit First,Target Hit First,1900-01-01 14:25:30,70.55,71.961,70.55000000000010,SL Hit First,SL Hit First,1900-01-01 14:27:42,70.55,67.0225,-176.37500000000000,SL Hit First,SL Hit First,1900-01-01 14:27:42,70.55,65.61150000000000,-246.92500000000000,SL Hit First,SL Hit First,1900-01-01 14:28:00,70.55,63.495,-352.75
11/10/22,1900-01-01 14:45:00,Call,SL Hit First,SL Hit First,1900-01-01 14:45:18,61.35,60.123,-61.35000000000020,Close Price,Close Price,1900-01-01 14:50:00,61.35,61.0,-17.50000000000010,Close Price,Close Price,1900-01-01 14:50:00,61.35,61.0,-17.50000000000010,Close Price,Close Price,1900-01-01 14:50:00,61.35,61.0,-17.50000000000010
