Datetime,Date,Time,open,high,low,close
2022-10-31 09:15:00,2022-10-31,09:15:00,33.0,39.0,30.2,36.15
2022-10-31 09:15:06,2022-10-31,09:15:06,37.05,37.05,34.0,34.0
2022-10-31 09:15:12,2022-10-31,09:15:12,32.95,34.55,32.7,34.55
2022-10-31 09:15:18,2022-10-31,09:15:18,34.1,34.1,33.0,33.0
2022-10-31 09:15:24,2022-10-31,09:15:24,32.75,32.75,31.6,31.6
2022-10-31 09:15:30,2022-10-31,09:15:30,32.5,33.5,32.5,33.5
2022-10-31 09:15:36,2022-10-31,09:15:36,33.5,34.1,33.5,34.1
2022-10-31 09:15:42,2022-10-31,09:15:42,34.2,34.25,33.75,33.75
2022-10-31 09:15:48,2022-10-31,09:15:48,33.75,33.9,33.45,33.45
2022-10-31 09:15:54,2022-10-31,09:15:54,33.35,33.35,32.85,33.15
2022-10-31 09:16:00,2022-10-31,09:16:00,32.8,34.1,32.8,34.1
2022-10-31 09:16:06,2022-10-31,09:16:06,34.45,34.75,34.45,34.75
2022-10-31 09:16:12,2022-10-31,09:16:12,34.9,35.9,34.9,35.9
2022-10-31 09:16:18,2022-10-31,09:16:18,36.0,36.6,36.0,36.5
2022-10-31 09:16:24,2022-10-31,09:16:24,36.5,36.5,35.15,35.15
2022-10-31 09:16:30,2022-10-31,09:16:30,35.2,35.35,35.2,35.35
2022-10-31 09:16:36,2022-10-31,09:16:36,35.75,36.2,35.75,35.8
2022-10-31 09:16:42,2022-10-31,09:16:42,35.5,35.8,35.5,35.5
2022-10-31 09:16:48,2022-10-31,09:16:48,35.65,35.65,35.5,35.55
2022-10-31 09:16:54,2022-10-31,09:16:54,35.3,35.3,35.15,35.25
2022-10-31 09:17:00,2022-10-31,09:17:00,35.15,35.15,34.0,34.0
2022-10-31 09:17:06,2022-10-31,09:17:06,34.2,34.2,33.6,34.15
2022-10-31 09:17:12,2022-10-31,09:17:12,34.15,34.15,33.55,33.75
2022-10-31 09:17:18,2022-10-31,09:17:18,33.35,33.85,33.3,33.6
2022-10-31 09:17:24,2022-10-31,09:17:24,33.75,33.9,33.05,33.05
2022-10-31 09:17:30,2022-10-31,09:17:30,33.25,33.25,33.0,33.0
2022-10-31 09:17:36,2022-10-31,09:17:36,32.95,32.95,32.35,32.35
2022-10-31 09:17:42,2022-10-31,09:17:42,33.05,33.9,33.05,33.9
2022-10-31 09:17:48,2022-10-31,09:17:48,34.0,34.75,34.0,34.75
2022-10-31 09:17:54,2022-10-31,09:17:54,34.75,34.75,34.5,34.55
2022-10-31 09:18:00,2022-10-31,09:18:00,34.1,34.5,33.95,34.4
2022-10-31 09:18:06,2022-10-31,09:18:06,34.1,35.05,34.1,35.05
2022-10-31 09:18:12,2022-10-31,09:18:12,34.45,34.9,34.4,34.4
2022-10-31 09:18:18,2022-10-31,09:18:18,34.25,34.25,34.15,34.15
2022-10-31 09:18:24,2022-10-31,09:18:24,34.0,34.3,33.85,34.1
2022-10-31 09:18:30,2022-10-31,09:18:30,34.0,34.65,34.0,34.65
2022-10-31 09:18:36,2022-10-31,09:18:36,34.75,35.2,34.75,35.2
2022-10-31 09:18:42,2022-10-31,09:18:42,35.45,35.45,35.1,35.25
2022-10-31 09:18:48,2022-10-31,09:18:48,35.3,35.45,34.95,35.45
2022-10-31 09:18:54,2022-10-31,09:18:54,35.55,35.6,35.15,35.15
2022-10-31 09:19:00,2022-10-31,09:19:00,35.3,35.5,35.3,35.5
2022-10-31 09:19:06,2022-10-31,09:19:06,35.8,35.8,35.2,35.3
2022-10-31 09:19:12,2022-10-31,09:19:12,35.15,35.25,35.1,35.1
2022-10-31 09:19:18,2022-10-31,09:19:18,35.15,36.3,35.1,36.3
2022-10-31 09:19:24,2022-10-31,09:19:24,36.5,36.5,36.0,36.0
2022-10-31 09:19:30,2022-10-31,09:19:30,35.75,36.3,35.7,35.8
2022-10-31 09:19:36,2022-10-31,09:19:36,36.0,36.15,35.9,36.15
2022-10-31 09:19:42,2022-10-31,09:19:42,36.2,36.5,36.1,36.5
2022-10-31 09:19:48,2022-10-31,09:19:48,36.4,36.4,35.9,35.9
2022-10-31 09:19:54,2022-10-31,09:19:54,35.75,35.95,35.5,35.95
2022-10-31 09:20:00,2022-10-31,09:20:00,36.5,36.55,35.6,35.6
2022-10-31 09:20:06,2022-10-31,09:20:06,36.0,36.4,35.2,35.2
2022-10-31 09:20:12,2022-10-31,09:20:12,35.05,35.45,35.0,35.2
2022-10-31 09:20:18,2022-10-31,09:20:18,35.55,35.55,34.95,34.95
2022-10-31 09:20:24,2022-10-31,09:20:24,35.0,35.3,34.75,34.8
2022-10-31 09:20:30,2022-10-31,09:20:30,34.85,35.0,34.7,35.0
2022-10-31 09:20:36,2022-10-31,09:20:36,35.0,35.05,34.75,34.75
2022-10-31 09:20:42,2022-10-31,09:20:42,35.1,35.1,34.5,34.5
2022-10-31 09:20:48,2022-10-31,09:20:48,34.55,34.55,34.15,34.15
2022-10-31 09:20:54,2022-10-31,09:20:54,34.35,34.65,34.35,34.4
2022-10-31 09:21:00,2022-10-31,09:21:00,34.6,34.95,34.55,34.9
2022-10-31 09:21:06,2022-10-31,09:21:06,34.6,34.85,34.4,34.85
2022-10-31 09:21:12,2022-10-31,09:21:12,34.4,34.4,34.05,34.3
2022-10-31 09:21:18,2022-10-31,09:21:18,34.35,34.35,34.0,34.0
2022-10-31 09:21:24,2022-10-31,09:21:24,33.75,34.0,33.55,33.95
2022-10-31 09:21:30,2022-10-31,09:21:30,33.65,33.8,33.55,33.55
2022-10-31 09:21:36,2022-10-31,09:21:36,33.5,33.5,33.2,33.2
2022-10-31 09:21:42,2022-10-31,09:21:42,33.15,34.15,33.15,34.15
2022-10-31 09:21:48,2022-10-31,09:21:48,34.1,34.25,33.65,33.65
2022-10-31 09:21:54,2022-10-31,09:21:54,33.3,33.7,33.3,33.7
2022-10-31 09:22:00,2022-10-31,09:22:00,33.6,34.15,33.4,33.4
2022-10-31 09:22:06,2022-10-31,09:22:06,33.45,33.9,33.45,33.65
2022-10-31 09:22:12,2022-10-31,09:22:12,33.5,33.55,33.35,33.55
2022-10-31 09:22:18,2022-10-31,09:22:18,33.55,33.55,33.05,33.1
2022-10-31 09:22:24,2022-10-31,09:22:24,33.15,33.6,33.15,33.55
2022-10-31 09:22:30,2022-10-31,09:22:30,33.6,34.1,33.55,34.1
2022-10-31 09:22:36,2022-10-31,09:22:36,34.15,34.6,34.15,34.6
2022-10-31 09:22:42,2022-10-31,09:22:42,34.25,34.35,33.55,33.6
2022-10-31 09:22:48,2022-10-31,09:22:48,33.55,34.05,33.4,34.05
2022-10-31 09:22:54,2022-10-31,09:22:54,34.15,34.15,32.8,32.8
2022-10-31 09:23:00,2022-10-31,09:23:00,32.55,33.95,32.55,33.95
2022-10-31 09:23:06,2022-10-31,09:23:06,33.9,34.3,33.9,33.95
2022-10-31 09:23:12,2022-10-31,09:23:12,33.85,34.35,33.85,34.2
2022-10-31 09:23:18,2022-10-31,09:23:18,34.55,34.65,34.4,34.45
