Date,Time,open,high,low,close,BuyPrice,SellPrice,ema5,Long_Call_Entry,Long Call Entry Point,short_put_entry,Short Put Entry Point,Call Or Put Status,round off values
2022-11-10,09:15:00,17220.0,17336.2,17170.3,17283.35,17221.6,17238.85,17283.35,False,,False,,,17300.0
2022-11-10,09:20:00,17182.85,17290.95,17170.0,17280.15,17178.75,17182.6,17281.43,False,,True,Enter the short put trade at - 17280.15,Buy Put and Sell Call at ,17300.0
2022-11-10,09:25:00,17173.0,17294.75,17160.0,17226.0,17173.0,17173.9,17255.173684210524,False,,True,Enter the short put trade at - 17226.0,Buy Put and Sell Call at ,17200.0
2022-11-10,09:30:00,17176.8,17287.3,17164.6,17269.15,17176.75,17178.0,17260.97923076923,True,Enter the Long Call trade at - 17269.15,False,,Buy Call and Sell Put at ,17300.0
2022-11-10,09:35:00,17163.85,17273.85,17150.0,17270.5,17162.0,17163.5,17264.634123222746,True,Enter the Long Call trade at - 17270.5,False,,Buy Call and Sell Put at ,17300.0
2022-11-10,09:40:00,17166.25,17285.0,17166.25,17268.7,17166.25,17167.45,17266.119849624058,True,Enter the Long Call trade at - 17268.7,False,,Buy Call and Sell Put at ,17300.0
2022-11-10,09:45:00,17168.45,17278.4,17158.5,17274.6,17168.45,17168.65,17269.12229237494,True,Enter the Long Call trade at - 17274.6,False,,Buy Call and Sell Put at ,17300.0
2022-11-10,09:50:00,17160.0,17274.6,17133.15,17240.0,17159.4,17159.6,17259.020713719274,False,,True,Enter the short put trade at - 17240.0,Buy Put and Sell Call at ,17200.0
2022-11-10,09:55:00,17133.5,17247.05,17127.75,17236.0,17133.35,17134.3,17251.14220437119,False,,True,Enter the short put trade at - 17236.0,Buy Put and Sell Call at ,17200.0
2022-11-10,10:00:00,17127.0,17251.0,17120.75,17249.05,17127.0,17128.0,17250.432495476092,False,,True,Enter the short put trade at - 17249.05,Buy Put and Sell Call at ,17200.0
2022-11-10,10:05:00,17138.9,17259.15,17135.9,17245.7,17138.15,17138.9,17248.836546182447,False,,True,Enter the short put trade at - 17245.7,Buy Put and Sell Call at ,17200.0
2022-11-10,10:10:00,17138.1,17260.0,17127.65,17260.0,17138.1,17139.9,17252.586600422874,True,Enter the Long Call trade at - 17260.0,False,,Buy Call and Sell Put at ,17300.0
2022-11-10,10:15:00,17150.05,17274.85,17150.05,17262.55,17150.15,17152.55,17255.924886500547,True,Enter the Long Call trade at - 17262.55,False,,Buy Call and Sell Put at ,17300.0
2022-11-10,10:20:00,17155.65,17262.55,17134.1,17245.35,17155.3,17155.5,17252.387808116295,False,,True,Enter the short put trade at - 17245.35,Buy Put and Sell Call at ,17200.0
2022-11-10,10:25:00,17138.95,17245.35,17111.55,17225.25,17140.0,17141.8,17243.321166967577,False,,True,Enter the short put trade at - 17225.25,Buy Put and Sell Call at ,17200.0
2022-11-10,10:30:00,17114.45,17224.65,17100.0,17217.8,17114.45,17115.6,17234.80114009188,False,,True,Enter the short put trade at - 17217.8,Buy Put and Sell Call at ,17200.0
2022-11-10,10:35:00,17109.25,17236.45,17108.5,17126.9,17108.8,17110.4,17198.79755121986,False,,True,Enter the short put trade at - 17126.9,Buy Put and Sell Call at ,17100.0
2022-11-10,10:40:00,17128.05,17250.0,17121.05,17250.0,17126.3,17128.3,17215.87659049891,True,Enter the Long Call trade at - 17250.0,False,,Buy Call and Sell Put at ,17200.0
2022-11-10,10:45:00,17143.0,17256.3,17132.2,17256.3,17142.0,17143.0,17229.357141314576,True,Enter the Long Call trade at - 17256.3,False,,Buy Call and Sell Put at ,17300.0
2022-11-10,10:50:00,17148.85,17256.3,17132.0,17248.0,17148.3,17149.0,17235.573296919196,True,Enter the Long Call trade at - 17248.0,False,,Buy Call and Sell Put at ,17200.0
2022-11-10,10:55:00,17182.55,17248.0,17120.0,17244.2,17179.05,17182.9,17238.449441238816,True,Enter the Long Call trade at - 17244.2,False,,Buy Call and Sell Put at ,17200.0
2022-11-10,11:00:00,17129.0,17245.5,17124.0,17243.2,17129.05,17129.5,17240.033172502935,True,Enter the Long Call trade at - 17243.2,False,,Buy Call and Sell Put at ,17200.0
2022-11-10,11:05:00,17130.2,17246.0,17126.6,17180.4,17129.0,17130.5,17220.153676977054,False,,True,Enter the short put trade at - 17180.4,Buy Put and Sell Call at ,17200.0
2022-11-10,11:10:00,17129.7,17255.45,17125.2,17185.0,17127.1,17128.25,17208.435088529808,False,,True,Enter the short put trade at - 17185.0,Buy Put and Sell Call at ,17200.0
2022-11-10,11:15:00,17128.0,17244.9,17126.25,17235.5,17126.5,17128.45,17217.457082976718,True,Enter the Long Call trade at - 17235.5,False,,Buy Call and Sell Put at ,17200.0
2022-11-10,11:20:00,17130.0,17250.0,17121.85,17250.0,17129.0,17130.65,17228.3050083851,True,Enter the Long Call trade at - 17250.0,False,,Buy Call and Sell Put at ,17200.0
2022-11-10,11:25:00,17146.8,17267.55,17145.0,17204.6,17146.0,17147.65,17220.4031998441,False,,True,Enter the short put trade at - 17204.6,Buy Put and Sell Call at ,17200.0
2022-11-10,11:30:00,17156.25,17268.55,17155.0,17268.55,17156.25,17157.55,17236.45232154921,True,Enter the Long Call trade at - 17268.55,False,,Buy Call and Sell Put at ,17300.0
2022-11-10,11:35:00,17164.55,17268.55,17147.55,17257.7,17166.0,17166.15,17243.534936437572,True,Enter the Long Call trade at - 17257.7,False,,Buy Call and Sell Put at ,17300.0
